순위,업소명,주소,분류,외지인 검색 수
1,카페보리,전남 영광군 해안로 787-0,카페/찻집,12831
2,법성포굴비골목,전남 영광군,기타음식,11230
3,법성토우,전남 영광군 법성포로3길 26-9,한식,3854
4,일번지한정식[한식],전남 영광군 굴비로 37-0,한식,3826
5,레드힐커피,전남 영광군 해안로 917-0,카페/찻집,3797
6,갈매기식당[한식],전남 영광군 진굴비길 46-0,한식,3572
7,파스쿠찌영광백수해안도로점,전남 영광군 해안로 1389-0,카페/찻집,3439
8,강화식당,전남 영광군 굴비로 9-2,한식,2689
9,동원정[한식],전남 영광군 법성포로3길 12-19,한식,2654
10,영광토우,전남 영광군 월현로 210-0,한식,2180
11,풍성한집[한식],전남 영광군 법성포로3길 60-0,한식,2126
12,법성포굴비정식,전남 영광군 법성포로 7-0,한식,2050
13,국제식당,전남 영광군 굴비로 84-1,한식,1932
14,골목식당[한식],전남 영광군 굴비로 9-2,한식,1919
15,밀향기해물칼국수,전남 영광군 함영로 3448-0,한식,1912
16,문정한정식[한식],전남 영광군 중앙로5길 16-10,한식,1894
17,백수식당,전남 영광군 천마길 9-0,외국식,1825
18,영광굴비정식[한식],전남 영광군 법성포로3길 6-5,한식,1742
19,모래골,전남 영광군 해안로 1389-0,한식,1575
20,한성식당[한식],전남 영광군 천마길 12-0,한식,1472
21,할리스영광백수해안도로점,전남 영광군 해안로 918-0,카페/찻집,1282
22,장어명가청산,전남 영광군 법성포로 15-7,외국식,1213
23,정일품[한식],전남 영광군 굴비로4길 5-2,한식,1176
24,노을,전남 영광군 해안로 565-9,카페/찻집,1100
25,등대식당,전남 영광군 계마길 61-0,외국식,1024
26,거시기횟집,전남 영광군 해안로 737-0,외국식,913
27,만선횟집,전남 영광군 천년로10길 41-0,외국식,910
28,귀빈식당,전남 영광군 법성포로3길 6-15,한식,866
29,이디야커피영광점,전남 영광군 신남로 150-0,카페/찻집,794
30,도래지[한식],전남 영광군 굴비로1길 106-14,한식,759
31,롯데리아영광점,전남 영광군 신남로 185-2,간이음식,737
32,카페뜰107,전남 영광군 해안로 693-0,카페/찻집,701
33,하나로마트백수농협,전남 영광군 백수로9길 60-0,카페/찻집,665
34,밭뷰,전남 영광군 복호로 193-0,카페/찻집,658
35,투썸플레이스영광점,전남 영광군 천년로 1498-0,카페/찻집,645
36,대마반점[중식],전남 영광군 영장로 272-0,외국식,643
37,아미정,전남 영광군 법성포로 35-0,외국식,622
38,청풍장어,전남 영광군 녹산로 186-0,외국식,619
39,쫄복이네,전남 영광군 법성포로 23-23,한식,600
40,파리바게뜨영광터미널점,전남 영광군 신남로4길 1-0,간이음식,591
41,할매집,전남 영광군 불갑사로 351-0,한식,584
42,종가집식당,전남 영광군 대하길2길 35-0,한식,554
43,한솔가든,전남 영광군 영대로 516-0,외국식,546
44,드롭탑영광법성포점,전남 영광군 법성포로 57-0,카페/찻집,466
45,국일관[한식],전남 영광군 대하길4길 10-0,한식,439
46,007식당,전남 영광군 굴비로 98-0,한식,438
47,영광맛집호타루,전남 영광군 대하길 35-0,외국식,413
48,어촌아구,전남 영광군 대하길2길 11-0,한식,403
49,보리향기[한식],전남 영광군 불갑사로 350-0,한식,398
50,영광원조양평해장국,전남 영광군 대하길 28-3,한식,396
51,배스킨라빈스전남영광점,전남 영광군 신남로 203-0,간이음식,373
52,지산칼국수,전남 영광군 백수로 726-0,외국식,369
53,다랑가지식당,전남 영광군 굴비로1길 62-8,외국식,362
54,동락식당,전남 영광군 현암길 55-8,한식,361
55,중앙먹거리,전남 영광군 물무로 106-2,한식,359
56,민속촌영광점,전남 영광군 신남로1길 54-22,한식,356
57,무버커피,전남 영광군 옥당로 143-0,카페/찻집,337
58,어느날오후,전남 영광군 물무로 204-1,카페/찻집,331
59,대흥[중식],전남 영광군 법성포로3길 12-31,외국식,327
60,고창면옥해안도로점,전남 영광군 해안로 918-0,한식,301
61,영광청보리한우프라자,전남 영광군 신남로4길 18-0,한식,300
62,무등골한우식육식당,전남 영광군 천년로 1345-0,한식,299
63,굴비정식해안가,전남 영광군 법성포로 8-17,한식,297
64,파리바게뜨전남영광점,전남 영광군 중앙로 193-5,간이음식,270
65,분등노지장어,전남 영광군 백수로3길 361-0,외국식,251
66,운수대통,전남 영광군 신남로 156-1,한식,242
67,나그맛영광점,전남 영광군 옥당로 165-0,한식,237
68,미미식당,전남 영광군 진굴비길 14-1,한식,232
69,파도식당,전남 영광군 백수로 818-0,한식,225
70,사거리식육식당,전남 영광군 홍농로 458-0,한식,224
71,국가대표형제들,전남 영광군 해안로 950-0,간이음식,220
71,인의정,전남 영광군 법성포로3길 26-11,한식,220
73,이조한우식당,전남 영광군 신남로 124-0,한식,218
74,바다일번지[한식],전남 영광군 해안로 947-8,한식,215
75,뭉클,전남 영광군 해안로 808-0,카페/찻집,214
76,디저트39영광점,전남 영광군 천년로12길 23-0,카페/찻집,200
77,큰산가든,전남 영광군 영광로 1307-0,한식,191
78,은행나무산장[한식],전남 영광군 해안로 860-10,한식,176
79,중앙식당,전남 영광군 물무로 102-1,한식,170
80,숲쟁이오색국수,전남 영광군 숲쟁이길 69-0,한식,166
81,육해공마을회관,전남 영광군 신남로 152-1,한식,158
82,청아회관,전남 영광군 중앙로5길 11-2,한식,156
83,새깍두기식당,전남 영광군 굴비로 7-2,한식,155
84,성원반점[중식],전남 영광군 법성포로 17-0,외국식,150
85,동보성[중식],전남 영광군 대하길4길 21-16,외국식,145
86,디앤디 커피,전남 영광군 법성포로3길 20-36,카페/찻집,143
87,고궁연,전남 영광군 법성포로 25-0,한식,142
88,두리담,전남 영광군 법성포로3길 34-0,간이음식,141
88,폭스빈,전남 영광군 법성포로3길 6-4,카페/찻집,141
90,놀부보쌈앤부대찌개영광점,전남 영광군 신남로 153-0,외국식,140
91,등대식당,전남 영광군 계마길 61-0,한식,139
92,오목순두부식당,전남 영광군 옥당로 32-5,한식,135
93,장바우횟집,전남 영광군 해안로 898-4,외국식,134
94,노랑가오리식당,전남 영광군 신남로 156-1,한식,129
95,우앤유,전남 영광군 월현로1길 154-20,카페/찻집,127
96,굴비단길,전남 영광군 법성포로3길 12-29,한식,114
97,굴비로정식[한식],전남 영광군 굴비로 63-0,한식,113
97,태능갈비,전남 영광군 옥당로 234-0,한식,113
99,정문식당,전남 영광군 홍농로 837-6,한식,112
100,지산칼국수,전남 영광군 백수로 726-0,한식,107
