광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
전라남도,목포시,2340834.0
전라남도,무안군,747295.0
전라남도,나주시,485815.0
전라남도,해남군,306754.0
전라남도,강진군,214266.0
전라남도,완도군,102746.0
전라남도,장흥군,100705.0
전라남도,순천시,80619.0
전라남도,진도군,63470.0
전라남도,화순군,58550.0
전라남도,신안군,49581.0
전라남도,여수시,47477.0
전라남도,광양시,42378.0
전라남도,장성군,25594.0
전라남도,영광군,25131.0
전라남도,함평군,24928.0
전라남도,담양군,24250.0
전라남도,보성군,22578.0
전라남도,고흥군,16345.0
전라남도,곡성군,8230.0
전라남도,구례군,4211.0
광주광역시,광산구,493433.0
광주광역시,북구,427765.0
광주광역시,서구,367187.0
광주광역시,남구,311354.0
광주광역시,동구,111583.0
경기도,화성시,39486.0
경기도,부천시,31758.0
경기도,남양주시,27748.0
경기도,성남시 분당구,27264.0
경기도,평택시,26030.0
경기도,용인시 기흥구,23246.0
경기도,시흥시,18960.0
경기도,광주시,16899.0
경기도,김포시,16817.0
경기도,용인시 수지구,15939.0
경기도,고양시 덕양구,15897.0
경기도,하남시,15371.0
경기도,용인시 처인구,14765.0
경기도,안산시 상록구,14044.0
경기도,수원시 권선구,13699.0
경기도,수원시 영통구,13120.0
경기도,의정부시,13088.0
경기도,파주시,13057.0
경기도,안산시 단원구,13037.0
경기도,성남시 수정구,12074.0
경기도,안양시 동안구,11830.0
경기도,군포시,11731.0
경기도,고양시 일산동구,11225.0
경기도,고양시 일산서구,9658.0
경기도,오산시,9413.0
경기도,광명시,9341.0
경기도,안성시,9110.0
경기도,수원시 장안구,9019.0
경기도,이천시,8387.0
경기도,구리시,8222.0
경기도,안양시 만안구,7809.0
경기도,수원시 팔달구,7351.0
경기도,양주시,7204.0
경기도,성남시 중원구,7045.0
경기도,의왕시,6496.0
경기도,포천시,6274.0
경기도,여주시,4455.0
경기도,양평군,4256.0
경기도,과천시,3733.0
경기도,동두천시,2097.0
경기도,가평군,1535.0
경기도,연천군,1276.0
서울특별시,송파구,33360.0
서울특별시,강남구,26810.0
서울특별시,관악구,23215.0
서울특별시,강서구,21550.0
서울특별시,서초구,19137.0
서울특별시,동작구,18638.0
서울특별시,노원구,18453.0
서울특별시,강동구,18317.0
서울특별시,영등포구,16784.0
서울특별시,은평구,16689.0
서울특별시,구로구,16597.0
서울특별시,성북구,16236.0
서울특별시,양천구,14647.0
서울특별시,광진구,14519.0
서울특별시,중랑구,13839.0
서울특별시,마포구,13731.0
서울특별시,서대문구,13499.0
서울특별시,동대문구,13437.0
서울특별시,성동구,13049.0
서울특별시,강북구,11499.0
서울특별시,용산구,11302.0
서울특별시,도봉구,9858.0
서울특별시,금천구,7960.0
서울특별시,종로구,7363.0
서울특별시,중구,6049.0
전라북도,군산시,31513.0
전라북도,익산시,30159.0
전라북도,전주시 덕진구,28486.0
전라북도,전주시 완산구,28341.0
전라북도,정읍시,17057.0
전라북도,고창군,13203.0
전라북도,남원시,9602.0
전라북도,김제시,8065.0
전라북도,완주군,7674.0
전라북도,부안군,7376.0
전라북도,순창군,3775.0
전라북도,임실군,1755.0
전라북도,무주군,1367.0
전라북도,장수군,1242.0
전라북도,진안군,839.0
경상남도,거제시,42493.0
경상남도,김해시,24379.0
경상남도,창원시 진해구,20668.0
경상남도,통영시,13126.0
경상남도,진주시,11121.0
경상남도,양산시,10557.0
경상남도,창원시 성산구,9413.0
경상남도,창원시 마산회원구,7905.0
경상남도,창원시 의창구,7801.0
경상남도,창원시 마산합포구,6895.0
경상남도,사천시,5658.0
경상남도,고성군,4023.0
경상남도,함안군,3575.0
경상남도,밀양시,2815.0
경상남도,창녕군,2778.0
경상남도,하동군,2575.0
경상남도,남해군,2158.0
경상남도,함양군,1872.0
경상남도,산청군,1768.0
경상남도,거창군,1640.0
경상남도,합천군,1291.0
경상남도,의령군,1136.0
부산광역시,사하구,15712.0
부산광역시,해운대구,13730.0
부산광역시,북구,10937.0
부산광역시,남구,10901.0
부산광역시,부산진구,10579.0
부산광역시,영도구,10309.0
부산광역시,동래구,8320.0
부산광역시,강서구,7971.0
부산광역시,사상구,7718.0
부산광역시,연제구,7285.0
부산광역시,금정구,7122.0
부산광역시,기장군,6506.0
부산광역시,수영구,5651.0
부산광역시,서구,4696.0
부산광역시,동구,3243.0
부산광역시,중구,2691.0
충청남도,아산시,15750.0
충청남도,당진시,13884.0
충청남도,천안시 서북구,13519.0
충청남도,천안시 동남구,11832.0
충청남도,서산시,8792.0
충청남도,논산시,8515.0
충청남도,보령시,7256.0
충청남도,홍성군,4886.0
충청남도,공주시,4713.0
충청남도,태안군,3949.0
충청남도,예산군,3662.0
충청남도,계룡시,3596.0
충청남도,부여군,3473.0
충청남도,서천군,3374.0
충청남도,금산군,2425.0
충청남도,청양군,1195.0
인천광역시,서구,20636.0
인천광역시,부평구,17026.0
인천광역시,남동구,16215.0
인천광역시,연수구,13736.0
인천광역시,미추홀구,12397.0
인천광역시,계양구,9587.0
인천광역시,중구,7298.0
인천광역시,강화군,2123.0
인천광역시,옹진군,2095.0
인천광역시,동구,1491.0
경상북도,포항시 남구,9680.0
경상북도,경주시,7788.0
경상북도,경산시,7304.0
경상북도,구미시,7206.0
경상북도,포항시 북구,6354.0
경상북도,칠곡군,3085.0
경상북도,김천시,3083.0
경상북도,안동시,2957.0
경상북도,영천시,2532.0
경상북도,영주시,2169.0
경상북도,상주시,2062.0
경상북도,성주군,1734.0
경상북도,문경시,1453.0
경상북도,울진군,1189.0
경상북도,영덕군,1158.0
경상북도,봉화군,1131.0
경상북도,청송군,968.0
경상북도,예천군,935.0
경상북도,영양군,842.0
경상북도,청도군,840.0
경상북도,의성군,838.0
경상북도,고령군,675.0
경상북도,군위군,512.0
경상북도,울릉군,116.0
대전광역시,유성구,20242.0
대전광역시,서구,17963.0
대전광역시,동구,8197.0
대전광역시,중구,8143.0
대전광역시,대덕구,7194.0
충청북도,청주시 흥덕구,9265.0
충청북도,충주시,9008.0
충청북도,청주시 서원구,6685.0
충청북도,청주시 청원구,6319.0
충청북도,음성군,6073.0
충청북도,청주시 상당구,4344.0
충청북도,진천군,4273.0
충청북도,제천시,3082.0
충청북도,영동군,1739.0
충청북도,증평군,1593.0
충청북도,옥천군,1463.0
충청북도,보은군,1215.0
충청북도,단양군,966.0
충청북도,괴산군,839.0
울산광역시,동구,18196.0
울산광역시,울주군,11414.0
울산광역시,남구,11331.0
울산광역시,중구,7447.0
울산광역시,북구,7240.0
대구광역시,달서구,10636.0
대구광역시,북구,9317.0
대구광역시,수성구,7615.0
대구광역시,동구,7180.0
대구광역시,달성군,5840.0
대구광역시,남구,3188.0
대구광역시,서구,2038.0
대구광역시,중구,2037.0
강원도,원주시,7939.0
강원도,춘천시,5824.0
강원도,강릉시,5031.0
강원도,평창군,3381.0
강원도,속초시,2591.0
강원도,횡성군,2286.0
강원도,홍천군,2284.0
강원도,정선군,1895.0
강원도,동해시,1733.0
강원도,영월군,1725.0
강원도,삼척시,1526.0
강원도,고성군,1366.0
강원도,철원군,1336.0
강원도,인제군,1160.0
강원도,태백시,1106.0
강원도,화천군,1073.0
강원도,양양군,860.0
강원도,양구군,656.0
제주특별자치도,제주시,29657.0
제주특별자치도,서귀포시,11765.0
세종특별자치시,세종특별자치시,20165.0
