광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
광주광역시,광산구,2023650.0
광주광역시,북구,1551665.0
광주광역시,서구,756789.0
광주광역시,남구,406370.0
광주광역시,동구,210789.0
전라남도,나주시,177984.0
전라남도,담양군,168120.0
전라남도,목포시,95248.0
전라남도,화순군,78753.0
전라남도,영광군,65330.0
전라남도,함평군,63543.0
전라남도,무안군,58239.0
전라남도,순천시,57885.0
전라남도,여수시,36346.0
전라남도,광양시,28174.0
전라남도,영암군,25475.0
전라남도,해남군,19520.0
전라남도,곡성군,17595.0
전라남도,보성군,16145.0
전라남도,완도군,15957.0
전라남도,장흥군,15058.0
전라남도,강진군,14769.0
전라남도,고흥군,10524.0
전라남도,신안군,7445.0
전라남도,진도군,6742.0
전라남도,구례군,5377.0
전라북도,정읍시,154217.0
전라북도,고창군,142786.0
전라북도,전주시 완산구,102391.0
전라북도,전주시 덕진구,87641.0
전라북도,익산시,76917.0
전라북도,군산시,51451.0
전라북도,순창군,32849.0
전라북도,완주군,23168.0
전라북도,김제시,21912.0
전라북도,부안군,20107.0
전라북도,남원시,15378.0
전라북도,임실군,4250.0
전라북도,진안군,2137.0
전라북도,장수군,1941.0
전라북도,무주군,1392.0
경기도,화성시,42569.0
경기도,남양주시,33431.0
경기도,부천시,30801.0
경기도,평택시,27418.0
경기도,광주시,27301.0
경기도,파주시,25768.0
경기도,용인시 기흥구,24278.0
경기도,성남시 분당구,21445.0
경기도,고양시 덕양구,19242.0
경기도,김포시,19105.0
경기도,시흥시,18838.0
경기도,의정부시,17397.0
경기도,용인시 처인구,16682.0
경기도,포천시,16634.0
경기도,수원시 권선구,16321.0
경기도,용인시 수지구,16315.0
경기도,수원시 영통구,15719.0
경기도,양주시,15217.0
경기도,이천시,15153.0
경기도,안산시 단원구,14061.0
경기도,안산시 상록구,13796.0
경기도,하남시,13671.0
경기도,안양시 동안구,13377.0
경기도,고양시 일산동구,12636.0
경기도,안성시,12401.0
경기도,오산시,12278.0
경기도,수원시 장안구,11418.0
경기도,성남시 수정구,11288.0
경기도,군포시,11173.0
경기도,광명시,10893.0
경기도,성남시 중원구,9288.0
경기도,안양시 만안구,9090.0
경기도,고양시 일산서구,9058.0
경기도,구리시,8796.0
경기도,수원시 팔달구,8251.0
경기도,연천군,8088.0
경기도,양평군,7205.0
경기도,의왕시,7110.0
경기도,여주시,6846.0
경기도,가평군,5488.0
경기도,동두천시,4092.0
경기도,과천시,3295.0
서울특별시,송파구,29755.0
서울특별시,노원구,26098.0
서울특별시,관악구,24859.0
서울특별시,강서구,22643.0
서울특별시,강남구,22247.0
서울특별시,강동구,20660.0
서울특별시,동작구,20247.0
서울특별시,성북구,17811.0
서울특별시,서초구,17714.0
서울특별시,영등포구,17593.0
서울특별시,은평구,17082.0
서울특별시,광진구,15401.0
서울특별시,중랑구,15150.0
서울특별시,동대문구,15137.0
서울특별시,마포구,14843.0
서울특별시,구로구,14743.0
서울특별시,성동구,14056.0
서울특별시,양천구,14005.0
서울특별시,서대문구,13838.0
서울특별시,강북구,10988.0
서울특별시,도봉구,10906.0
서울특별시,용산구,9831.0
서울특별시,금천구,9061.0
서울특별시,종로구,8424.0
서울특별시,중구,6115.0
충청남도,아산시,20762.0
충청남도,천안시 서북구,19478.0
충청남도,논산시,16544.0
충청남도,천안시 동남구,15393.0
충청남도,서산시,8551.0
충청남도,계룡시,8083.0
충청남도,당진시,8053.0
충청남도,보령시,6740.0
충청남도,공주시,5485.0
충청남도,홍성군,4443.0
충청남도,서천군,4410.0
충청남도,부여군,4337.0
충청남도,금산군,3435.0
충청남도,예산군,3246.0
충청남도,태안군,2939.0
충청남도,청양군,1579.0
대전광역시,유성구,42706.0
대전광역시,서구,38019.0
대전광역시,중구,18067.0
대전광역시,동구,15707.0
대전광역시,대덕구,13746.0
인천광역시,서구,20128.0
인천광역시,부평구,17057.0
인천광역시,연수구,15729.0
인천광역시,남동구,13767.0
인천광역시,미추홀구,11105.0
인천광역시,계양구,9354.0
인천광역시,중구,5129.0
인천광역시,옹진군,2572.0
인천광역시,강화군,1867.0
인천광역시,동구,919.0
충청북도,괴산군,14839.0
충청북도,청주시 흥덕구,13712.0
충청북도,청주시 서원구,10422.0
충청북도,충주시,10335.0
충청북도,청주시 청원구,10064.0
충청북도,음성군,8613.0
충청북도,청주시 상당구,6889.0
충청북도,진천군,4945.0
충청북도,옥천군,4523.0
충청북도,증평군,3114.0
충청북도,제천시,3041.0
충청북도,영동군,2078.0
충청북도,보은군,1212.0
충청북도,단양군,718.0
강원도,원주시,12169.0
강원도,인제군,9546.0
강원도,춘천시,9314.0
강원도,철원군,8732.0
강원도,홍천군,8464.0
강원도,화천군,7864.0
강원도,고성군,5765.0
강원도,양구군,5286.0
강원도,강릉시,4754.0
강원도,속초시,2798.0
강원도,동해시,1787.0
강원도,삼척시,1757.0
강원도,평창군,1485.0
강원도,양양군,1458.0
강원도,정선군,1266.0
강원도,횡성군,1197.0
강원도,영월군,1117.0
강원도,태백시,872.0
경상남도,김해시,11531.0
경상남도,진주시,9418.0
경상남도,거제시,8750.0
경상남도,창원시 성산구,6588.0
경상남도,양산시,6109.0
경상남도,창원시 의창구,4225.0
경상남도,창원시 진해구,4043.0
경상남도,사천시,3467.0
경상남도,창원시 마산합포구,3451.0
경상남도,창원시 마산회원구,3284.0
경상남도,통영시,3007.0
경상남도,함안군,2521.0
경상남도,거창군,1911.0
경상남도,함양군,1723.0
경상남도,밀양시,1583.0
경상남도,하동군,1418.0
경상남도,고성군,1418.0
경상남도,남해군,1348.0
경상남도,산청군,1284.0
경상남도,창녕군,1185.0
경상남도,합천군,820.0
경상남도,의령군,556.0
경상북도,영천시,11161.0
경상북도,포항시 남구,8594.0
경상북도,경산시,6565.0
경상북도,구미시,6207.0
경상북도,경주시,4720.0
경상북도,포항시 북구,4637.0
경상북도,김천시,2777.0
경상북도,칠곡군,2517.0
경상북도,안동시,2128.0
경상북도,상주시,1751.0
경상북도,울진군,1292.0
경상북도,성주군,1289.0
경상북도,영주시,1142.0
경상북도,문경시,1014.0
경상북도,예천군,872.0
경상북도,고령군,817.0
경상북도,청도군,660.0
경상북도,영덕군,445.0
경상북도,봉화군,427.0
경상북도,의성군,416.0
경상북도,군위군,389.0
경상북도,영양군,355.0
경상북도,청송군,220.0
경상북도,울릉군,60.0
부산광역시,해운대구,7850.0
부산광역시,사하구,5539.0
부산광역시,부산진구,5067.0
부산광역시,남구,4776.0
부산광역시,북구,4755.0
부산광역시,동래구,4646.0
부산광역시,금정구,4021.0
부산광역시,연제구,3560.0
부산광역시,기장군,3302.0
부산광역시,사상구,2938.0
부산광역시,강서구,2915.0
부산광역시,수영구,2518.0
부산광역시,영도구,2269.0
부산광역시,서구,1553.0
부산광역시,동구,912.0
부산광역시,중구,755.0
대구광역시,달서구,9353.0
대구광역시,수성구,8925.0
대구광역시,북구,8768.0
대구광역시,동구,6796.0
대구광역시,달성군,6574.0
대구광역시,남구,2359.0
대구광역시,서구,1735.0
대구광역시,중구,1003.0
세종특별자치시,세종특별자치시,34551.0
제주특별자치도,제주시,18865.0
제주특별자치도,서귀포시,9119.0
울산광역시,울주군,4451.0
울산광역시,남구,4132.0
울산광역시,북구,3443.0
울산광역시,동구,3046.0
울산광역시,중구,2903.0
