순위,업소명,주소,분류,합산 검색 수
1,녹양관,전남 장흥군 장평중앙길 49-0,외국식,4293
2,정남진만나숯불갈비,전남 장흥군 물레방앗간길 4-0,한식,2519
3,영천수산,전남 장흥군 안양로 151-0,외국식,1845
4,오차현,전남 장흥군 동교1길 2-0,카페/찻집,1518
5,문수헌,전남 장흥군 외평길 152-0,한식,1391
6,이디야커피장흥점,전남 장흥군 흥성로 31-0,카페/찻집,1227
7,수복식당,전남 장흥군 건산로 42-0,한식,1045
8,파리바게뜨전남장흥,전남 장흥군 중앙로 35-0,간이음식,1022
9,갯마을횟집,전남 장흥군 수문용곡로 141-0,외국식,950
10,끄니걱정,전남 장흥군 토요시장2길 3-12,한식,922
11,명희네음식점,전남 장흥군 토요시장2길 3-6,한식,862
12,신가네,전남 장흥군 동교1길 16-0,외국식,744
13,남포수산,전남 장흥군 접정남포로 763-96,외국식,668
14,바다하우스장흥점,전남 장흥군 수문용곡로 139-0,외국식,640
15,벌교꼬막정식,전남 장흥군 토요시장2길 48-1,한식,629
16,장흥한우삼합구이,전남 장흥군 토요시장2길 9-2,한식,624
17,본전식당[한식],전남 장흥군 노력도2길 1-1,한식,545
18,천지식당,전남 장흥군 장평중앙길 56-0,한식,532
19,시루와콩,전남 장흥군 내평길 31-0,외국식,473
20,사계절굴구이,전남 장흥군 정남진해안로 1083-0,한식,470
21,롯데리아장흥점,전남 장흥군 중앙로 54-1,간이음식,458
22,오리앤오리,전남 장흥군 우드랜드길 84-0,외국식,406
23,드롭탑정남진장흥점,전남 장흥군 토요시장1길 9-1,카페/찻집,402
24,장흥토요한우촌,전남 장흥군 토요시장2길 3-10,한식,380
25,은희네굴구이,전남 장흥군 죽청1길 174-1,한식,377
26,남하부엌,전남 장흥군 덕암지천길 3-0,한식,343
27,경화네굴구이,전남 장흥군 정남진해안로 1089-0,외국식,337
28,화풍[중식],전남 장흥군 물레방앗간길 25-13,외국식,322
29,장흥한우프라자,전남 장흥군 토요시장1길 45-0,한식,310
30,대복회관[한식],전남 장흥군 동교로 36-6,한식,300
31,싱싱회마을,전남 장흥군 건산로 48-0,외국식,297
32,바다하우스,전남 장흥군 수문용곡로 139-0,외국식,294
33,정남진한사랑한우식당,전남 장흥군 토요시장2길 9-1,한식,293
34,할리스전남장흥점,전남 장흥군 북부로 18-0,카페/찻집,284
35,3대곰탕집,전남 장흥군 토요시장3길 16-2,한식,282
36,이가네,전남 장흥군 장평중앙길 58-0,한식,263
37,삭금횟집,전남 장흥군 가학회진로 889-0,외국식,255
38,남포마을석화구이,전남 장흥군 남포길 50-0,기타음식,244
39,메이향[중식],전남 장흥군 북부로 65-0,외국식,237
40,강산해[한식],전남 장흥군 동교로 71-13,한식,231
41,삭금쭈꾸미,전남 장흥군 물레방앗간길 14-0,외국식,210
42,정남진전망대횟집,전남 장흥군 정남진해안로 212-57,외국식,209
42,취락,전남 장흥군 물레방앗간길 36-0,외국식,209
44,한라네소머리국밥,전남 장흥군 토요시장3길 5-0,한식,175
45,삭금남촌횟집,전남 장흥군 가학회진로 903-0,외국식,172
46,장평반점[중식],전남 장흥군 장평중앙길 52-0,외국식,163
46,장흥삶한우협동조합,전남 장흥군 토요시장1길 35-0,한식,163
48,선학막국수,전남 장흥군 흥성로 321-0,한식,154
49,청송횟집,전남 장흥군 회진중앙길 16-0,외국식,153
50,사랑해장흥한우,전남 장흥군 토요시장1길 29-0,한식,152
50,장흥삼합골목,전남 장흥군 토요시장2길 27-1,기타음식,152
52,탐마루,전남 장흥군 장흥로 1-0,한식,150
53,배스킨라빈스전남장흥점,전남 장흥군 중앙로 33-1,간이음식,141
54,원앤식스커피,전남 장흥군 동교3길 5-0,카페/찻집,135
54,유희의반상[한식],전남 장흥군 동교2길 1-0,한식,135
56,일번지굴구이,전남 장흥군 정남진해안로 1165-0,외국식,133
57,153샤브샤브,전남 장흥군 동교로 71-13,외국식,129
58,장흥수산굴구이,전남 장흥군 죽청2길 83-0,외국식,128
59,연지관광농원,전남 장흥군 청다리길 249-1,한식,118
60,토지삼계탕,전남 장흥군 물레방앗간길 20-0,한식,113
61,여다지회마을,전남 장흥군 한승원산책길 158-0,외국식,105
62,백운수산,전남 장흥군 죽청1길 175-0,외국식,103
63,탐마루장흥한우,전남 장흥군 장흥로 1-0,한식,99
64,토정황손두꺼비국밥,전남 장흥군 토요시장2길 3-7,한식,96
65,반올림 피자샵,전남 장흥군 장흥로 39-0,간이음식,82
65,웬지,전남 장흥군 우드랜드길 132-1,카페/찻집,82
67,황금연못장어촌,전남 장흥군 남부관광로 17-0,외국식,76
68,천지인,전남 장흥군 내평길 25-38,한식,75
69,비스트로 봄,전남 장흥군 수문용곡로 270-0,외국식,71
70,컴포즈커피장흥중앙로점,전남 장흥군 중앙로 55-1,카페/찻집,66
71,탐진강메기탕,전남 장흥군 송산길 17-2,한식,65
72,전주콩나루콩나물국밥장흥점,전남 장흥군 건산로 49-0,한식,63
73,장흥뚝배기,전남 장흥군 건산로 40-2,한식,62
74,카페팡야,전남 장흥군 로하스로 48-0,카페/찻집,61
75,장흥천관한우식당,전남 장흥군 토요시장2길 15-0,한식,59
76,화끈한한우,전남 장흥군 토요시장1길 33-0,한식,57
77,덕성루[중식],전남 장흥군 건산로 30-0,외국식,56
77,장재도회타운,전남 장흥군 사촌큰길 233-0,외국식,56
79,수종가든,전남 장흥군 우드랜드길 21-0,한식,51
79,정남진우리한우,전남 장흥군 토요시장2길 2-0,한식,51
79,장흥다예원,전남 장흥군 기산길 21-0,카페/찻집,51
82,황칠나라,전남 장흥군 건산로 62-2,한식,50
83,정남진가든,전남 장흥군 장택길 10-0,한식,47
84,맷돌,전남 장흥군 의향길 9-1,한식,45
85,또봄,전남 장흥군 순지남외길 197-0,카페/찻집,44
85,봉림정,전남 장흥군 곰치로 878-0,한식,44
87,승모네,전남 장흥군 동교로 15-0,카페/찻집,41
88,신라복집,전남 장흥군 건산로 15-0,외국식,40
88,오얏리돌솥밥,전남 장흥군 북부로 70-0,한식,40
88,작은주방후야,전남 장흥군 동부로 8-0,외국식,40
91,닭치고오리,전남 장흥군 의향길 1-0,외국식,39
92,일품양평해장국전남장흥점,전남 장흥군 장흥대로 3546-0,한식,38
93,탐앤탐스장흥토요시장점,전남 장흥군 토요시장3길 10-1,카페/찻집,37
94,명동관광식당,전남 장흥군 남부관광로 194-0,한식,35
94,병영식당횟집,전남 장흥군 정남진로 3-7,외국식,35
94,세양회전문점,전남 장흥군 건산로 40-0,외국식,35
94,진선식육식당,전남 장흥군 중앙로2길 10-0,한식,35
94,안동장터소고기국밥장흥점,전남 장흥군 남부관광로 23-0,한식,35
99,달보드레,전남 장흥군 중앙로 76-0,카페/찻집,34
100,운동장가든,전남 장흥군 읍성로 5-26,한식,33
