순위,관광지명,주소,분류,현지인 검색 수
1,땅끝선착장,전남 해남군 땅끝마을길 70-14,교통시설,4398
2,대흥사,전남 해남군 대흥사길 400-0,종교성지,2189
3,솔라시도CC,전남 해남군,육상레저스포츠,1606
4,땅끝전망대,전남 해남군 땅끝마을길 100-0,랜드마크관광,1237
5,파인비치골프링크스,전남 해남군 시아로 224-0,육상레저스포츠,1236
6,해남공룡박물관,전남 해남군 공룡박물관길 234-1,전시시설,1057
7,송호해수욕장,전남 해남군,자연경관(하천/해양),1044
8,미황사,전남 해남군 미황사길 164-0,종교성지,988
9,갈두항,전남 해남군 땅끝마을길 0-0,자연경관(하천/해양),784
10,우수영국민관광지,전남 해남군,복합관광시설,688
11,4est수목원,전남 해남군,테마공원,620
12,해남매일시장,전남 해남군 천변2길 27-0,시장,515
13,도솔암,전남 해남군 마봉송종길 355-300,종교성지,509
14,해남오시아노캠핑장,전남 해남군 시아로 552-0,캠핑,451
15,땅끝국민관광지,전남 해남군 땅끝마을길 42-0,복합관광시설,410
16,해남5일시장,전남 해남군 중앙2로 100-2,시장,399
17,흑석산자연휴양림,전남 해남군 산골길 306-0,자연공원,397
18,해남우수영여객선임시터미널,전남 해남군 우수영안길 96-0,교통시설,351
19,우수영5일시장,전남 해남군,시장,347
20,두륜산케이블카,전남 해남군 대흥사길 88-45,기타관광,318
21,남창시장,전남 해남군 달량진길 52-10,시장,302
22,송평해변,전남 해남군,자연경관(하천/해양),276
23,고천암자연생태공원,전남 해남군 고천암로 752-14,도시공원,265
24,어란진항,전남 해남군,교통시설,261
25,땅끝오토캠핑리조트,전남 해남군 갈산길 25-15,캠핑,237
26,피아노모텔,전남 해남군 남부순환로 47-0,모텔,212
27,해남수국축제,전남 해남군,기타문화관광지,209
28,오소재약수터,전남 해남군,자연경관(산),201
29,해남남도호텔,전남 해남군 영빈로 53-0,호텔,187
30,땅끝모노레일,전남 해남군 땅끝마을길 60-28,랜드마크관광,185
31,목포구등대,전남 해남군 매봉길 582-0,랜드마크관광,184
32,땅끝항여객선터미널,전남 해남군 땅끝마을길 111-0,교통시설,181
33,두륜산도립공원,전남 해남군 대흥사길 326-8,자연공원,180
34,해남윤씨녹우당,전남 해남군 녹우당길 135-0,역사유적지,165
35,땅끝해양자연사박물관,전남 해남군 땅끝마을길 89-0,전시시설,150
36,해남시네마,전남 해남군,공연시설,144
37,명량해상케이블카해남 스테이션,전남 해남군 관광레저로 12-20,기타관광,142
38,사구미해변,전남 해남군,자연경관(하천/해양),136
39,고산윤선도유적지,전남 해남군 녹우당길 135-0,역사유적지,131
40,남성항,전남 해남군,자연경관(하천/해양),124
40,보해매실농원,전남 해남군 예덕길 125-89,농/산/어촌체험,124
42,우수영항,전남 해남군 우수영안길 0-0,자연경관(하천/해양),122
43,임하도선착장,전남 해남군,교통시설,121
44,다이소해남점,전남 해남군 천변1길 42-0,기타쇼핑시설,118
45,명량해상케이블카진도대교광장하부승강장,전남 해남군,기타관광,117
46,플러스무인텔,전남 해남군 고산로 134-11,모텔,115
47,별암선착장,전남 해남군 영호길 42-18,교통시설,100
48,카라모텔,전남 해남군 중앙2로 140-6,모텔,96
49,SP모텔,전남 해남군 해남로 15-1,모텔,93
50,흥부민박,전남 해남군 민박촌길 46-0,펜션/민박,92
51,울돌목스카이워크,전남 해남군,기타관광,91
52,오시아노관광단지,전남 해남군,복합관광시설,89
53,화원684글램핑,전남 해남군 매봉길 528-8,캠핑,87
54,땅끝황토나라테마촌,전남 해남군 땅끝해안로 1730-0,콘도미니엄,86
54,모아모텔,전남 해남군 교육청길 54-8,모텔,86
56,내장리방파제,전남 해남군,자연경관(하천/해양),81
57,봄호텔,전남 해남군 명량로 196-0,모텔,76
58,서동사,전남 해남군 절골길 244-0,종교성지,73
59,두륜산자락펜션,전남 해남군 고산로 783-7,펜션/민박,69
