광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
전라북도,전주시 완산구,600731.0
전라북도,전주시 덕진구,546502.0
전라북도,익산시,195204.0
전라북도,장수군,191598.0
전라북도,임실군,173951.0
전라북도,순창군,138035.0
전라북도,군산시,133607.0
전라북도,완주군,99190.0
전라북도,정읍시,52077.0
전라북도,김제시,43360.0
전라북도,고창군,25747.0
전라북도,부안군,20323.0
전라북도,진안군,19441.0
전라북도,무주군,17111.0
전라남도,곡성군,310611.0
전라남도,구례군,217563.0
전라남도,순천시,176474.0
전라남도,여수시,88781.0
전라남도,광양시,74860.0
전라남도,나주시,48797.0
전라남도,목포시,43221.0
전라남도,담양군,34549.0
전라남도,무안군,26277.0
전라남도,화순군,25062.0
전라남도,장성군,16050.0
전라남도,영암군,12895.0
전라남도,영광군,12811.0
전라남도,고흥군,11936.0
전라남도,보성군,10917.0
전라남도,해남군,8152.0
전라남도,장흥군,8023.0
전라남도,완도군,7322.0
전라남도,함평군,5888.0
전라남도,강진군,5391.0
전라남도,신안군,4759.0
전라남도,진도군,3990.0
경기도,화성시,68149.0
경기도,부천시,52751.0
경기도,평택시,42675.0
경기도,남양주시,40905.0
경기도,성남시 분당구,37834.0
경기도,용인시 기흥구,34688.0
경기도,광주시,30887.0
경기도,시흥시,27902.0
경기도,김포시,27297.0
경기도,수원시 권선구,26432.0
경기도,고양시 덕양구,26394.0
경기도,수원시 영통구,25636.0
경기도,용인시 수지구,25210.0
경기도,안산시 상록구,24091.0
경기도,파주시,23728.0
경기도,하남시,23499.0
경기도,의정부시,22844.0
경기도,안산시 단원구,21714.0
경기도,수원시 장안구,20724.0
경기도,용인시 처인구,20685.0
경기도,안양시 동안구,19860.0
경기도,군포시,18209.0
경기도,광명시,18002.0
경기도,고양시 일산동구,17991.0
경기도,성남시 수정구,16996.0
경기도,고양시 일산서구,16245.0
경기도,오산시,15722.0
경기도,이천시,15131.0
경기도,구리시,14998.0
경기도,안성시,14724.0
경기도,안양시 만안구,13955.0
경기도,수원시 팔달구,13155.0
경기도,성남시 중원구,12120.0
경기도,의왕시,11236.0
경기도,양주시,10710.0
경기도,포천시,9495.0
경기도,여주시,7067.0
경기도,과천시,6538.0
경기도,양평군,6225.0
경기도,가평군,3765.0
경기도,동두천시,3395.0
경기도,연천군,1834.0
광주광역시,북구,288885.0
