순위,관광지명,주소,분류,외지인 검색 수
1,전주샹그릴라CC,전북 임실군 수지로 559-90,육상레저스포츠,16983
2,옥정호,전북 임실군,자연경관(하천/해양),13110
3,사선대관광지,전북 임실군 사선2길 68-7,복합관광시설,9184
4,국사봉전망대,전북 임실군 국사봉로 624-0,랜드마크관광,6556
5,요산공원,전북 임실군,도시공원,3212
6,사선대조각공원,전북 임실군,도시공원,2244
7,전북종합사격장,전북 임실군,육상레저스포츠,1986
8,오수의견공원,전북 임실군 충효로 2096-16,도시공원,1762
9,섬진강자전거길인증센터,전북 임실군 회문3길 2-0,기타레저스포츠,1696
10,임실전통시장,전북 임실군 운수로 26-0,시장,1570
11,옥정호작약꽃받,전북 임실군,기타관광,1552
12,상이암,전북 임실군 성수산길 658-0,종교성지,1249
13,숨,전북 임실군 운정길 93-1,펜션/민박,1234
14,성수산자연휴양림,전북 임실군 성수산길 373-0,자연공원,1233
15,하늘구름길캠핑장,전북 임실군 왕방길 360-0,캠핑,1231
16,섬진강댐물문화관,전북 임실군 강운로 1239-0,전시시설,1224
17,임실N치즈축제,전북 임실군 도인2길 50-0,기타문화관광지,1162
18,강변사리마을캠핑장,전북 임실군 강동로 865-20,캠핑,1045
19,관촌시장,전북 임실군 사선1길 70-3,시장,958
20,옥정호전망대,전북 임실군 운정길 70-20,랜드마크관광,774
21,필봉농악전수관,전북 임실군 강운로 272-0,기타관광,699
22,붕어섬,전북 임실군,자연경관(하천/해양),605
23,미무인호텔,전북 임실군 춘향로 3076-44,모텔,546
24,옥정호물안개길,전북 임실군,기타레저스포츠,490
25,전북국제양궁장,전북 임실군,육상레저스포츠,485
26,세심자연휴양림,전북 임실군 임삼로 485-0,자연공원,472
27,김용택시인생가,전북 임실군 장암2길 16-0,역사유적지,467
28,필봉문화촌,전북 임실군 강운로 272-0,기타숙박,460
29,저스트글램핑,전북 임실군 이윤길 76-0,캠핑,412
30,돼지삼형제물놀이장,전북 임실군 신덕평로 1954-0,테마공원,402
31,장군목유원지,전북 임실군,복합관광시설,398
32,임실군청소년수련관,전북 임실군 사선2길 96-24,육상레저스포츠,319
33,오수시장,전북 임실군 오수로 159-0,시장,305
34,옥정호순환도로,전북 임실군,데이트코스,300
35,섬진강생활체육공원,전북 임실군,도시공원,291
36,옥정호작약꽃밭,전북 임실군,기타관광,280
37,오봉저수지,전북 임실군,자연경관(하천/해양),208
38,임실하늘정원,전북 임실군 천담2길 162-0,펜션/민박,202
39,오수애견캠핑장,전북 임실군,캠핑,195
40,임실힐링펜션,전북 임실군 감천로 20-0,펜션/민박,193
41,흙집연,전북 임실군 문방1길 11-0,펜션/민박,192
42,임실문화원,전북 임실군 봉황로 131-0,교육시설,187
43,방길낚시캠핑장,전북 임실군 삼길1길 155-77,캠핑,177
44,오봉산,전북 임실군,자연경관(산),169
44,임실치즈테마파크임실치즈역사문화관,전북 임실군,전시시설,169
46,양요정,전북 임실군,역사유적지,166
47,아담과이브모텔,전북 임실군 춘향로 2953-3,모텔,163
48,모텔하이디,전북 임실군 춘향로 3726-8,모텔,158
49,청수장모텔,전북 임실군 봉황8길 6-0,모텔,143
50,이랑한옥스테이,전북 임실군 인덕로 1571-6,펜션/민박,141
51,옥정호출렁다리(2022년상반기개장예정),전북 임실군,기타관광,135
52,강진시장,전북 임실군 호국로 14-12,시장,130
53,자연산장,전북 임실군 국사봉로 108-12,기타숙박,125
54,충경레스텔,전북 임실군,기타숙박,124
54,도인저수지,전북 임실군,자연경관(하천/해양),124
56,애드가모텔,전북 임실군 오수7길 60-4,모텔,121
57,임실축협가축시장,전북 임실군 춘향로 3226-0,시장,108
58,반디민박,전북 임실군 천담2길 223-18,펜션/민박,106
59,쌍암리공원게이트볼장,전북 임실군 임운로 1924-0,기타레저스포츠,102
60,죽계저수지,전북 임실군,자연경관(하천/해양),91
61,김용택시인마을,전북 임실군 장암2길 10-1,역사유적지,89
62,성남저수지,전북 임실군,자연경관(하천/해양),86
63,에드가모텔,전북 임실군 오수7길 60-4,모텔,80
64,HOTEL오마래,전북 임실군 춘향로 3726-4,모텔,78
65,임실숲무인텔,전북 임실군 춘향로 3076-30,모텔,77
66,미르펜션민박,전북 임실군 감천로 22-0,펜션/민박,76
66,옥정호출렁다리,전북 임실군,기타관광,76
68,귀빈모텔,전북 임실군 호국로 1758-0,모텔,72
68,다이소임실점,전북 임실군 중동로 7-0,기타쇼핑시설,72
70,도화지도예문화원,전북 임실군 신전4길 33-0,교육시설,62
70,두마리목장,전북 임실군 치즈마을길 193-0,기타쇼핑시설,62
72,옥정호쌍둥이빌라,전북 임실군 구이로 36-0,펜션/민박,59
