순위,관광지명,주소,분류,현지인 검색 수
1,전주샹그릴라CC,전북 임실군 수지로 559-90,육상레저스포츠,1030
2,사선대관광지,전북 임실군 사선2길 68-7,복합관광시설,483
3,옥정호,전북 임실군,자연경관(하천/해양),406
4,국사봉전망대,전북 임실군 국사봉로 624-0,랜드마크관광,297
5,요산공원,전북 임실군,도시공원,183
6,임실전통시장,전북 임실군 운수로 26-0,시장,171
7,임실군청소년수련관,전북 임실군 사선2길 96-24,육상레저스포츠,148
8,하늘구름길캠핑장,전북 임실군 왕방길 360-0,캠핑,147
8,전북종합사격장,전북 임실군,육상레저스포츠,147
10,성수산자연휴양림,전북 임실군 성수산길 373-0,자연공원,143
11,관촌시장,전북 임실군 사선1길 70-3,시장,135
12,오수시장,전북 임실군 오수로 159-0,시장,131
13,상이암,전북 임실군 성수산길 658-0,종교성지,130
14,섬진강댐물문화관,전북 임실군 강운로 1239-0,전시시설,120
15,오수의견공원,전북 임실군 충효로 2096-16,도시공원,115
16,옥정호작약꽃받,전북 임실군,기타관광,98
17,충경레스텔,전북 임실군,기타숙박,80
18,사선대조각공원,전북 임실군,도시공원,79
19,강변사리마을캠핑장,전북 임실군 강동로 865-20,캠핑,59
20,섬진강자전거길인증센터,전북 임실군 회문3길 2-0,기타레저스포츠,58
21,전북국제양궁장,전북 임실군,육상레저스포츠,42
22,리베라모텔,전북 임실군 강운로 1281-0,모텔,41
23,임실힐링펜션,전북 임실군 감천로 20-0,펜션/민박,38
24,숨,전북 임실군 운정길 93-1,펜션/민박,37
25,옥정호쌍둥이빌라,전북 임실군 구이로 36-0,펜션/민박,35
25,옥정호전망대,전북 임실군 운정길 70-20,랜드마크관광,35
27,섬진강생활체육공원,전북 임실군,도시공원,34
28,필봉농악전수관,전북 임실군 강운로 272-0,기타관광,32
29,산수장여관,전북 임실군 사선로 45-0,모텔,31
29,붕어섬,전북 임실군,자연경관(하천/해양),31
31,필봉문화촌,전북 임실군 강운로 272-0,기타숙박,30
32,미무인호텔,전북 임실군 춘향로 3076-44,모텔,29
33,청수장모텔,전북 임실군 봉황8길 6-0,모텔,24
33,세심자연휴양림,전북 임실군 임삼로 485-0,자연공원,24
35,임실하늘정원,전북 임실군 천담2길 162-0,펜션/민박,21
35,옥정호작약꽃밭,전북 임실군,기타관광,21
