순위,관광지명,주소,분류,현지인 검색 수
1,장수골프리조트,전북 장수군 장안산로 303-0,육상레저스포츠,1427
2,나봄리조트장수,전북 장수군 승마1로 60-32,콘도미니엄,382
3,와룡자연휴양림,전북 장수군 비룡로 632-0,자연공원,159
4,모텔승마,전북 장수군 장무로 171-28,모텔,138
5,방화동자연휴양림,전북 장수군,자연공원,131
6,장수승마장,전북 장수군 승마1로 60-31,육상레저스포츠,123
7,논개생가지,전북 장수군 의암로 558-0,역사유적지,117
8,죽림정사,전북 장수군 죽림2길 31-0,종교성지,107
9,논개사당,전북 장수군 논개사당길 41-0,역사유적지,87
10,방화동가족휴가촌,전북 장수군 방화동로 778-0,복합관광시설,73
11,장수방화동캠핑장,전북 장수군 방화동로 398-12,캠핑,69
11,장수누리파크,전북 장수군 논개사당길 65-0,도시공원,69
13,별빛마루펜션,전북 장수군 송학로 71-10,펜션/민박,65
14,봉화산,전북 장수군,자연경관(산),48
15,무령고개,전북 장수군,자연경관(산),45
16,토옥동계곡,전북 장수군,자연경관(산),40
17,지지계곡,전북 장수군,자연경관(산),39
18,하늘꽃펜션,전북 장수군 월현로 135-15,펜션/민박,36
19,타코마팜리조트,전북 장수군 장수로 2662-11,콘도미니엄,35
19,뜬봉샘생태공원,전북 장수군 물뿌랭이길 10-18,도시공원,35
21,장수시장,전북 장수군 시장로 11-0,시장,32
22,장수온천,전북 장수군 장수로 673-14,웰니스관광,28
23,장계시장,전북 장수군 시장천변길 36-0,시장,27
24,봉화산철쭉단지,전북 장수군,복합관광시설,23
25,예솔이네집펜션,전북 장수군 방어령길 139-18,펜션/민박,21
25,오리골펜션,전북 장수군 오리골길 191-0,펜션/민박,21
25,장수논개수상레저,전북 장수군 의암로 0-0,수상레저스포츠,21
28,대곡관광지한옥펜션,전북 장수군 대곡관광길 74-0,펜션/민박,18
28,방화동오토캠프장,전북 장수군 방화동로 778-0,캠핑,18
28,명성장여관,전북 장수군 한들3길 9-0,모텔,18
28,의암공원,전북 장수군,도시공원,18
32,덕산계곡,전북 장수군,자연경관(산),17
33,강선암,전북 장수군,종교성지,16
33,육십령고개,전북 장수군 육십령로 0-0,자연경관(산),16
33,장안산군립공원,전북 장수군,자연공원,16
36,장수논개생가마을,전북 장수군 논개생가길 21-5,역사유적지,15
37,영월암,전북 장수군 봉서로 182-135,종교성지,13
37,장수도깨비전시관,전북 장수군 논개생가길 31-13,전시시설,13
39,다이소장수점,전북 장수군 장천로 204-0,기타쇼핑시설,12
39,성관사,전북 장수군 장무로 492-83,종교성지,12
39,팔성사,전북 장수군 비행로 1455-94,종교성지,12
42,하얏트모텔,전북 장수군 장계천변길 41-0,모텔,11
42,서구이재,전북 장수군,자연경관(산),11
