광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
전라북도,전주시 완산구,1103308.0
전라북도,전주시 덕진구,690971.0
전라북도,고창군,498010.0
전라북도,익산시,405192.0
전라북도,부안군,401384.0
전라북도,김제시,334015.0
전라북도,군산시,262887.0
전라북도,완주군,161989.0
전라북도,순창군,158866.0
전라북도,남원시,42962.0
전라북도,임실군,32058.0
전라북도,진안군,12161.0
전라북도,무주군,8770.0
전라북도,장수군,6769.0
경기도,화성시,80835.0
경기도,부천시,68202.0
경기도,평택시,54705.0
경기도,남양주시,53501.0
경기도,성남시 분당구,42932.0
경기도,용인시 기흥구,39747.0
경기도,시흥시,37661.0
경기도,광주시,36681.0
경기도,김포시,32788.0
경기도,고양시 덕양구,32168.0
경기도,안산시 단원구,31689.0
경기도,안산시 상록구,31469.0
경기도,수원시 권선구,31178.0
경기도,수원시 영통구,31028.0
경기도,안양시 동안구,28259.0
경기도,의정부시,27390.0
경기도,용인시 처인구,27031.0
경기도,하남시,26722.0
경기도,용인시 수지구,25464.0
경기도,파주시,25104.0
경기도,광명시,24918.0
경기도,성남시 수정구,24279.0
경기도,안양시 만안구,23043.0
경기도,군포시,22858.0
경기도,수원시 장안구,21638.0
경기도,오산시,21586.0
경기도,안성시,19771.0
경기도,고양시 일산동구,19192.0
경기도,성남시 중원구,18391.0
경기도,이천시,18174.0
경기도,고양시 일산서구,17989.0
경기도,수원시 팔달구,17885.0
경기도,구리시,15292.0
경기도,양주시,13578.0
경기도,포천시,11363.0
경기도,의왕시,11249.0
경기도,여주시,8270.0
경기도,양평군,7623.0
경기도,과천시,6727.0
경기도,동두천시,4349.0
경기도,가평군,3617.0
경기도,연천군,2005.0
광주광역시,광산구,353927.0
광주광역시,북구,340858.0
광주광역시,서구,205717.0
광주광역시,남구,116161.0
광주광역시,동구,67132.0
서울특별시,송파구,61602.0
서울특별시,강남구,50582.0
서울특별시,관악구,50184.0
서울특별시,강서구,45461.0
서울특별시,강동구,41505.0
서울특별시,노원구,38357.0
서울특별시,동작구,38168.0
서울특별시,성북구,37067.0
서울특별시,은평구,36678.0
서울특별시,광진구,35256.0
서울특별시,영등포구,34122.0
서울특별시,서초구,33536.0
서울특별시,구로구,32378.0
서울특별시,양천구,30546.0
서울특별시,마포구,28610.0
서울특별시,중랑구,28353.0
서울특별시,동대문구,27662.0
서울특별시,서대문구,27069.0
서울특별시,성동구,25516.0
서울특별시,강북구,22846.0
서울특별시,도봉구,20918.0
서울특별시,용산구,19852.0
서울특별시,금천구,16512.0
서울특별시,종로구,14299.0
서울특별시,중구,11193.0
