순위,관광지명,주소,분류
1,홈플러스/계룡점,충남 계룡시 계룡대로 304-0,쇼핑
2,계룡대쇼핑타운,충남 계룡시 신도안1길 41-0,쇼핑
3,하나로마트/논산계룡축협,충남 계룡시 엄사중앙로 17-0,쇼핑
4,계룡대체력단련장,충남 계룡시 계룡대로 976-0,레포츠(육상/해상/항공)
5,구룡체력단련장,충남 계룡시 계룡대9로 104-0,레포츠(육상/해상/항공)
6,논산계룡농협/계룡로컬푸드센터,충남 계룡시 대실남북1길 11-0,쇼핑
7,다이소/계룡점,충남 계룡시 번영로 40-0,쇼핑
8,입암저수지,충남 계룡시,자연관광지
9,구룡체력단련장,충남 계룡시,레포츠(육상/해상/항공)
10,구룡체력단련장,충남 계룡시 계룡대9로 104-0,레저스포츠
11,엄사도서관,충남 계룡시 번영7길 17-0,문화시설
12,무상사,충남 계룡시 향적산길 129-0,역사관광지
13,계룡대체력단련장,충남 계룡시 계룡대로 976-0,레저스포츠
14,계룡문화예술의전당,충남 계룡시 문화1로 13-0,공연/행사
15,계룡시민체육관,충남 계룡시 문화1로 51-0,기타관광지
16,무궁화학습원,충남 계룡시,자연관광지
17,계룡도서관,충남 계룡시 새터산길 27-0,문화시설
18,삼화문구,충남 계룡시 번영3길 57-0,쇼핑
19,입암저수지,충남 계룡시,자연관광
20,계룡사계고택,충남 계룡시 사계로 122-4,역사관광지
21,계룡종합운동장,충남 계룡시,기타관광지
22,올리브영/충남계룡점,충남 계룡시 번영로 20-0,쇼핑
23,구룡골프연습장,충남 계룡시 계룡대9로 104-0,레포츠(육상/해상/항공)
24,계룡철물,충남 계룡시 금암로 166-0,쇼핑
25,계룡로컬푸드,충남 계룡시 번영8길 20-1,쇼핑
26,무진장장수한우정육전문점,충남 계룡시 계룡대로 273-0,쇼핑
27,무진장장수한우정육전문점,충남 계룡시 서금암2길 19-3,쇼핑
28,홈플러스익스프레스/계룡엄사점,충남 계룡시 번영로 26-0,쇼핑
29,무궁화학습원,충남 계룡시,문화관광
30,농업회사법인충청계룡로컬푸드,충남 계룡시 서금암로 47-0,쇼핑
31,대광철물상사,충남 계룡시 엄사중앙로 5-0,쇼핑
32,계룡사계고택,충남 계룡시 사계로 122-4,역사관광
33,세븐일레븐/계룡품안마을점,충남 계룡시 신도안2길 98-0,쇼핑
34,사계절마트,충남 계룡시 엄사중앙로 66-0,쇼핑
35,충남철물,충남 계룡시,쇼핑
36,무상사,충남 계룡시 향적산길 129-0,역사관광
37,계룡대야구장,충남 계룡시,기타관광지
38,대광철물,충남 계룡시 엄사중앙로 5-0,쇼핑
39,제3정문앞벚꽃길,충남 계룡시,기타관광지
40,계룡문화예술의전당,충남 계룡시 문화1로 13-0,문화관광
41,한훈기념관,충남 계룡시 계룡대1로 35-0,문화시설
42,신신태양철물상사,충남 계룡시 계룡대로 239-0,쇼핑
43,CU/계룡두마점,충남 계룡시 번영3길 73-17,쇼핑
44,계룡시생활체육공원,충남 계룡시,자연관광지
45,원오사,충남 계룡시 전원3길 32-16,역사관광지
46,구룡골프연습장,충남 계룡시,레포츠(육상/해상/항공)
47,계룡시대박복권,충남 계룡시 서금암로 27-0,쇼핑
48,계룡골프연습장,충남 계룡시 계룡대로 976-0,레포츠(육상/해상/항공)
49,엄사스크린골프존,충남 계룡시 번영1길 5-16,레포츠(육상/해상/항공)
50,동행복권판매점/복돼지꿈방,충남 계룡시 계룡대로 239-0,쇼핑
51,나눔로또판매점/천하명당,충남 계룡시 엄사중앙로 93-0,쇼핑
52,화산골프클럽,충남 계룡시 왕대로 108-0,레포츠(육상/해상/항공)
53,달보드레의달콤한수다,충남 계룡시 번영10길 35-5,쇼핑
54,계룡대야구장,충남 계룡시,문화관광
55,계룡고물상,충남 계룡시 서금암5길 64-0,쇼핑
56,계룡스포츠센터,충남 계룡시 신도안1길 43-0,레포츠(육상/해상/항공)
57,꼬마사랑어린이서점,충남 계룡시 서금암로 10-0,쇼핑
58,오광,충남 계룡시 제1산단로 7-12,쇼핑
59,바느질공방K,충남 계룡시 번영10길 25-6,체험관광
60,동행복권판매점/천하명당,충남 계룡시 엄사중앙로 93-0,쇼핑
61,모원재,충남 계룡시 왕대2길 6-10,역사관광지
62,지상군페스티벌,충남 계룡시,문화관광
63,금아공조,충남 계룡시 제1산단로 25-16,쇼핑
64,새터산공원,충남 계룡시,자연관광지
65,엄사종합상사,충남 계룡시 엄사중앙로 107-1,쇼핑
66,용동저수지,충남 계룡시,자연관광
67,바느질공방K,충남 계룡시 번영10길 25-6,문화시설
68,두계생태공원물놀이장,충남 계룡시,문화관광
69,계룡종합운동장/보조경기장,충남 계룡시 문화1로 18-19,문화관광
70,광석낚시터,충남 계룡시 광석향한2길 58-0,레포츠(육상/해상/항공)
71,원오사,충남 계룡시 전원3길 32-16,역사관광
72,도곡리실내야외낚시터,충남 계룡시 배울길 129-0,레포츠(육상/해상/항공)
73,CU/계룡점,충남 계룡시 서금암3길 5-0,쇼핑
74,CU/계룡공단점,충남 계룡시 왕대로 98-0,쇼핑
75,GS25/계룡대실와노점,충남 계룡시 대실남북로 82-0,쇼핑
76,동행정육점,충남 계룡시 장안1길 6-0,쇼핑
77,두계생태공원물놀이장,충남 계룡시,기타관광지
78,GS25/계룡대타운점,충남 계룡시 신도안1길 41-0,쇼핑
79,두계은농재,충남 계룡시 사계로 122-4,역사관광지
