순위,업소명,주소,분류,합산 검색 수
1,반월소바,충남 논산시 해월로 132-0,한식,12410
2,강경해물칼국수,충남 논산시 계백로147번길 7-0,한식,10088
3,스타벅스논산내동DT점,충남 논산시 시민로 165-0,카페/찻집,10052
4,맥도날드충남논산DT점,충남 논산시 시민로 247-0,간이음식,8457
5,알바노,충남 논산시 산노1길 79-12,외국식,8322
6,스타벅스논산중앙점,충남 논산시 중앙로398번길 13-10,카페/찻집,6427
7,레이크힐제빵소,충남 논산시 탑정로 872-0,카페/찻집,6025
8,초서,충남 논산시 탑정로 802-0,카페/찻집,5310
8,태능초가집갈비,충남 논산시 중앙로398번길 7-7,한식,5310
10,원산면옥,충남 논산시 매죽헌로 99-0,한식,4895
11,뷰포인트카페,충남 논산시 탑정로 900-0,카페/찻집,4146
12,천안문[중식],충남 논산시 관촉로31번길 36-1,외국식,3645
13,함흥면옥,충남 논산시 대학로 81-0,한식,3189
14,태평식당,충남 논산시 옥녀봉로35번길 9-0,한식,3161
15,원조연산할머니순대,충남 논산시 황산벌로 1525-0,한식,3070
16,황산항아리보쌈,충남 논산시 논산평야로 1364-1,외국식,2816
17,기찻길옆오막살이,충남 논산시 계백로 680-8,한식,2709
18,보은집,충남 논산시 감바위로30번길 6-0,한식,2617
19,신풍매운탕,충남 논산시 신풍길 84-15,한식,2593
20,천평순대,충남 논산시 관촉로 113-7,한식,2462
21,논산옥,충남 논산시 방축길 28-6,한식,2457
22,창공식당,충남 논산시 노성로 429-0,한식,2292
23,신동회관,충남 논산시 백일헌로 999-0,한식,2235
24,어드레스,충남 논산시 탑정로 902-0,카페/찻집,2227
25,먹보쌈밥고깃간,충남 논산시 사계로 498-0,한식,2193
26,남촌칼국수,충남 논산시 금백로 95-0,한식,2186
27,코이비꼬,충남 논산시 강산길 90-0,카페/찻집,2103
28,SUBWAY논산점,충남 논산시 시민로 267-0,간이음식,2090
29,대성한우농장,충남 논산시 득안대로 585-0,한식,2089
30,평매매운탕,충남 논산시 산노1길 89-21,한식,1955
31,함지박,충남 논산시 계백로665번길 5-0,한식,1858
32,민스시,충남 논산시 시민로307번길 17-0,외국식,1843
33,강짬뽕,충남 논산시 계백로 1660-8,외국식,1820
34,쿠우쿠우논산점,충남 논산시 논산대로124번길 6-0,외국식,1802
35,감동제빵소,충남 논산시 중앙로384번길 35-3,간이음식,1787
36,봉평메밀왕막국수,충남 논산시 한전2길 4-0,한식,1738
37,유진짬뽕앤돈까스,충남 논산시 안심로140번길 49-0,외국식,1725
38,반월소바,충남 논산시 해월로 132-0,간이음식,1659
39,경모네젓갈백반,충남 논산시 옥녀봉로27번길 12-0,한식,1578
40,황산옥,충남 논산시 금백로 34-0,외국식,1560
41,고향식당,충남 논산시 선비로 317-0,한식,1549
42,만복정,충남 논산시 대촌4길 81-0,한식,1507
43,수정가든,충남 논산시 산노1길 89-17,한식,1485
