순위,관광지명,주소,분류,외지인 검색 수
1,대천해수욕장,충남 보령시,자연경관(하천/해양),368934
2,대천항,충남 보령시,자연경관(하천/해양),97794
3,무창포해수욕장,충남 보령시 열린바다1길 10-0,자연경관(하천/해양),68641
4,대천항수산시장,충남 보령시 대천항로 334-0,시장,65596
5,한화리조트대천파로스,충남 보령시 해수욕장3길 11-10,콘도미니엄,51772
6,오천항,충남 보령시 오천해안로 781-14,자연경관(하천/해양),45371
7,상화원,충남 보령시 남포방조제로 408-52,도시공원,42296
8,비체팰리스,충남 보령시 열린바다1길 78-0,콘도미니엄,36124
9,원산도해수욕장,충남 보령시,자연경관(하천/해양),30760
10,개화예술공원,충남 보령시 성주산로 673-47,도시공원,22609
11,원산도,충남 보령시,자연경관(하천/해양),22162
12,대천해수욕장스카이바이크,충남 보령시 해수욕장10길 79-0,기타레저스포츠,21305
13,독산해수욕장,충남 보령시,자연경관(하천/해양),17539
14,무창포항,충남 보령시 열린바다2길 46-0,자연경관(하천/해양),15507
15,오서산자연휴양림,충남 보령시 오서산길 531-0,자연공원,11797
16,오봉산해수욕장,충남 보령시,자연경관(하천/해양),11245
17,성주산자연휴양림,충남 보령시 먹방계곡길 39-0,자연공원,11178
18,국군대천콘도,충남 보령시 갓바위1길 10-30,콘도미니엄,10883
19,대천연안여객선터미널,충남 보령시 대천항중앙길 30-0,교통시설,10544
20,보령석탄박물관,충남 보령시 성주산로 508-0,전시시설,10100
21,에스앤골프리조트,충남 보령시 개목수리섬길 196-0,육상레저스포츠,9927
22,보령중앙시장,충남 보령시 중앙시장2길 9-0,시장,9757
23,호텔머드린,충남 보령시 해수욕장8길 28-0,호텔,8993
24,보령베이스리조트,충남 보령시 옥마벚길 10-0,콘도미니엄,8924
25,보령베이스CC,충남 보령시 옥마벚길 64-0,육상레저스포츠,8896
26,오천항선착장,충남 보령시,교통시설,8824
27,호텔파레브,충남 보령시 해수욕장8길 70-0,호텔,8571
28,죽도관광지,충남 보령시,복합관광시설,8245
29,환상의바다,충남 보령시 대천항1길 67-7,모텔,7187
30,용두해수욕장,충남 보령시,자연경관(하천/해양),6902
31,짚트랙코리아,충남 보령시 해수욕장10길 79-0,기타쇼핑시설,6444
32,보령머드축제,충남 보령시 해수욕장10길 5-0,기타문화관광지,5929
33,데이나이스호텔,충남 보령시 해수욕장8길 60-0,호텔,5871
34,무창포수산물시장,충남 보령시 열린바다2길 46-0,시장,5831
35,보령태안도로홍보관,충남 보령시,전시시설,5776
36,충청수영성,충남 보령시,역사유적지,5511
37,대천경찰수련원,충남 보령시 해수욕장2길 29-0,육상레저스포츠,5254
38,선촌항,충남 보령시,교통시설,4983
39,저두항,충남 보령시,자연경관(하천/해양),4931
40,메리머드호텔,충남 보령시 해수욕장8길 52-0,호텔,4828
41,토모노야호텔&료칸대천,충남 보령시 해안로 341-0,호텔,4732
42,산수장민박,충남 보령시 원산도3길 44-64,펜션/민박,4616
43,회변항,충남 보령시 하학로 763-0,자연경관(하천/해양),4611
44,리버사이드호텔,충남 보령시 천변북길 87-0,호텔,4074
45,우연플로라호텔,충남 보령시 해수욕장8길 48-0,모텔,3916
46,햇빛바다관광펜션,충남 보령시 원산도7길 121-0,펜션/민박,3861
47,머드비치호텔,충남 보령시 해수욕장8길 14-0,호텔,3707
48,대천해수욕장캠핑장,충남 보령시,캠핑,3664
49,저두해수욕장,충남 보령시,자연경관(하천/해양),3464
50,해씨유캠핑장,충남 보령시 원산도7길 117-20,캠핑,3398
51,성주계곡,충남 보령시,자연경관(산),3323
52,초전항,충남 보령시,자연경관(하천/해양),3181
53,청보리밭,충남 보령시,기타관광,3144
54,냉풍욕장,충남 보령시 냉풍욕장길 190-0,자연공원,3122
55,충청남도교육청해양수련원별관,충남 보령시 해수욕장10길 32-0,육상레저스포츠,3083
56,군헌갯벌체험장,충남 보령시 해안로 603-0,기타레저스포츠,2954
57,선촌선착장,충남 보령시 원산도1길 0-0,교통시설,2942
58,로글리대천통나무펜션마을,충남 보령시 통나무마을1길 32-0,펜션/민박,2870
59,보령문화의전당,충남 보령시 대흥로 63-0,기타문화관광지,2830
60,보령천북굴축제,충남 보령시,기타문화관광지,2694
61,오션뷰리조텔,충남 보령시 대천항1길 17-0,콘도미니엄,2663
62,보령에너지월드,충남 보령시 오천해안로 89-37,전시시설,2659
63,하하펜션,충남 보령시 고잠1길 67-0,펜션/민박,2635
64,2278리조트,충남 보령시 머드광장로 14-0,콘도미니엄,2606
65,숲속애통나무마을,충남 보령시 통나무마을1길 44-0,펜션/민박,2598
66,머드광장,충남 보령시 해수욕장10길 5-0,기타관광,2576
67,충남아이사랑캠핑장,충남 보령시 사작골길 13-13,캠핑,2508
68,2022보령해양머드박람회,충남 보령시,기타문화관광지,2503
69,더시티호텔,충남 보령시 목장3길 29-0,호텔,2497
70,1820펜션,충남 보령시 고잠1길 42-0,펜션/민박,2429
71,호텔뷰,충남 보령시 홍보로 1061-175,펜션/민박,2409
72,사창해수욕장,충남 보령시 원산도6길 0-0,자연경관(하천/해양),2365
73,보령무궁화수목원,충남 보령시,기타관광,2343
74,동백관,충남 보령시 용두욕장2길 40-0,기타숙박,2312
75,공주대대천수련원,충남 보령시 해수욕장10길 80-0,육상레저스포츠,2162
76,충청북도해양교육원,충남 보령시 해수욕장13길 14-17,육상레저스포츠,2145
77,스칸디캠프팜,충남 보령시 송덕신송길 229-42,캠핑,2102
78,본가야호텔,충남 보령시 해수욕장13길 3-0,호텔,2029
79,보령해저터널홍보관,충남 보령시,전시시설,2027
80,바둑이네동물원,충남 보령시 성주산로 673-24,테마공원,1992
81,너울펜션,충남 보령시 해수욕장13길 10-26,펜션/민박,1970
82,충청남도교육청해양수련원,충남 보령시 대천항로 240-0,육상레저스포츠,1941
83,E호텔,충남 보령시 머드로 171-0,호텔,1914
84,주산벚꽃길,충남 보령시,데이트코스,1862
85,보령댐휴게공원,충남 보령시,도시공원,1830
86,사창해수욕장야영장,충남 보령시,캠핑,1820
87,더반힐,충남 보령시 오천해안로 557-0,펜션/민박,1813
88,낚시쿤,충남 보령시 통나무마을1길 32-0,수상레저스포츠,1758
89,천북항,충남 보령시 홍보로 1061-40,자연경관(하천/해양),1755
90,호텔로하스,충남 보령시 해수욕장10길 10-0,모텔,1732
91,준무인텔,충남 보령시 고잠2길 2-54,모텔,1718
92,아리아호텔,충남 보령시 한내로 78-13,모텔,1706
93,라바풀빌라,충남 보령시 열린바다로 484-0,펜션/민박,1695
94,해수모텔,충남 보령시 해수욕장10길 40-0,모텔,1682
95,광개토호텔,충남 보령시 해수욕장10길 14-0,호텔,1585
96,제니스호텔,충남 보령시 대천항1길 13-0,모텔,1578
97,피터팬펜션,충남 보령시 해수욕장13길 10-21,펜션/민박,1522
98,학성리공룡섬,충남 보령시,기타관광,1505
99,웅천체육공원,충남 보령시,도시공원,1489
100,호텔봄,충남 보령시 해수욕장10길 42-0,모텔,1488
