순위,업소명,주소,분류,현지인 검색 수
1,한우마을,충남 서천군 종판로901번길 12-0,한식,355
2,수라원,충남 서천군 장산로 641-9,기타음식,304
3,서산회관,충남 서천군 서인로 318-0,한식,266
4,카페화산,충남 서천군 희리산길 7-0,카페/찻집,242
5,선도리웰빙해물칼국수,충남 서천군 갯벌체험로 492-31,한식,210
6,일미정,충남 서천군 장산로 641-7,한식,155
7,진미식당,충남 서천군 종판로 885-0,한식,154
8,유정식당,충남 서천군 장서로29번길 24-0,한식,138
9,할매온정집,충남 서천군 장서로47번길 20-0,외국식,122
10,홍어와칼국수,충남 서천군 갯벌체험로 492-24,한식,110
11,소문난칼국수,충남 서천군 서인로 427-0,기타음식,105
12,마로네하우스,충남 서천군 장산로 704-0,외국식,101
12,보라가든,충남 서천군 부사로 238-0,외국식,101
14,불꽃,충남 서천군 장산로 811-1,한식,91
15,한오백년추어탕,충남 서천군 충절로29번길 20-1,한식,86
16,황금코다리장항점,충남 서천군 장항산단로 33-1,한식,79
17,삼성식당,충남 서천군 종판로 882-2,한식,76
18,실비식당,충남 서천군 장서로29번길 43-0,기타음식,73
19,의생원[중식],충남 서천군 군청로 30-1,외국식,71
20,금강식당,충남 서천군 옥포길8번길 5-0,한식,69
21,국가대표해물칼국수,충남 서천군 서천역길 82-0,한식,64
21,안녕이네횟집,충남 서천군 요포길 135-0,외국식,64
21,서해안식당,충남 서천군 장서로47번길 21-0,한식,64
24,소문난해물칼국수,충남 서천군 장산로855번길 7-0,한식,61
25,송림 바지락 칼국수,충남 서천군 장항산단로34번길 57-1,한식,58
25,우리식당,충남 서천군 장서로29번길 42-0,한식,58
27,벌떼가든,충남 서천군 판미로 142-0,한식,57
27,파리바게뜨충남장항점,충남 서천군 장항로145번길 3-0,간이음식,57
29,금강마리나,충남 서천군 장산로 612-0,외국식,55
29,충남칼국수,충남 서천군 서천로75번길 5-0,한식,55
29,해강횟집,충남 서천군 장산로 706-0,외국식,55
