순위,관광지명,주소,분류
1,이마트트레이더스/천안아산점,충남 아산시 고속철대로 133-0,쇼핑
2,신정호국민관광지,충남 아산시,기타관광지
3,이마트/아산점,충남 아산시 온천대로 1678-0,쇼핑
4,외암리민속마을,충남 아산시 외암민속길 42-7,역사관광지
5,지중해마을,충남 아산시 탕정면로8번길 55-7,기타관광지
6,현충사,충남 아산시 현충사길 48-0,역사관광지
7,퍼스트빌리지,충남 아산시 해위안길 127-0,쇼핑
8,송곡리은행나무길,충남 아산시,레포츠(육상/해상/항공)
9,하나로마트/배방농협본점,충남 아산시 모산로 186-4,쇼핑
10,모나무르,충남 아산시 순천향로 624-0,문화시설
11,롯데마트/아산터미널점,충남 아산시 번영로 225-0,쇼핑
12,세계꽃식물원,충남 아산시 아산만로 37-37,휴양관광지
13,온양온천시장,충남 아산시 시장길15번길 9-0,쇼핑
14,다이소/아산모종점,충남 아산시 모종남로12번길 50-0,쇼핑
15,아산마트,충남 아산시 문화로 271-12,쇼핑
16,돈우,충남 아산시 구령길52번길 37-0,쇼핑
17,N마트/아산점,충남 아산시 석곡길 16-0,쇼핑
18,파라다이스스파도고,충남 아산시 도고온천로 176-0,휴양관광지
19,다이소/아산배방점,충남 아산시 배방로14번길 5-0,쇼핑
20,이순신종합운동장,충남 아산시 남부로 370-24,기타관광지
21,하이웨이클럽/아산점,충남 아산시 온천대로 1366-0,쇼핑
22,동행복권판매점/로또명당인주점,충남 아산시 서해로 519-2,쇼핑
23,하나로마트/탕정농협본점,충남 아산시 탕정면로 201-0,쇼핑
24,아산스파비스,충남 아산시 아산온천로157번길 67-0,휴양관광지
25,피나클랜드,충남 아산시 월선길 20-42,휴양관광지
26,하나로마트/아산원예농협모종점,충남 아산시 모종로 49-0,쇼핑
27,외암리민속마을,충남 아산시 외암민속길 42-7,역사관광
28,아산생태곤충원,충남 아산시 실옥로 216-0,문화시설
29,신정호유원지,충남 아산시 신정호길 13-10,휴양관광지
30,지중해마을,충남 아산시 탕정면로8번길 55-7,기타관광
31,아산중앙도서관,충남 아산시 남부로 229-0,문화시설
32,N마트/아산신창점,충남 아산시 서부북로 876-1,쇼핑
33,탕정온샘도서관,충남 아산시 한내로 209-0,문화시설
34,한샘식자재마트24,충남 아산시 중앙공원로 52-0,쇼핑
35,신정호국민관광지,충남 아산시,문화관광
36,곡교천시민체육공원,충남 아산시,자연관광지
37,하나로마트/아산원예농협,충남 아산시 온천대로 1336-0,쇼핑
38,온양민속박물관,충남 아산시 충무로 123-0,문화시설
39,다이소/아산탕정점,충남 아산시 탕정면로 54-18,쇼핑
40,신정호유원지,충남 아산시 신정호길 15-14,휴양관광지
41,삼성전자서비스/아산센터,충남 아산시 모종로 9-17,쇼핑
42,강당골,충남 아산시,자연관광지
43,봉곡사,충남 아산시 도송로632번길 138-0,역사관광지
44,장영실과학관,충남 아산시 실옥로 222-0,문화시설
45,노브랜드/아산배방점,충남 아산시 북수로 101-0,쇼핑
46,현충사,충남 아산시 현충사길 48-0,역사관광
47,이순신빙상장체육관,충남 아산시 남부로 370-42,기타관광지
48,아산레일바이크,충남 아산시 아산만로 199-3,레포츠(육상/해상/항공)
49,롯데시네마/아산터미널,충남 아산시 번영로 225-0,공연/행사
50,영인산산림박물관,충남 아산시 아산온천로 16-30,문화시설
51,아산온천,충남 아산시 아산온천로 217-7,휴양관광지
52,한샘/천안아산점,충남 아산시 고속철대로 49-0,쇼핑
53,유니클로/아산풍기점,충남 아산시 온천대로 1692-0,쇼핑
54,배방식자재마트,충남 아산시,쇼핑
55,파인허스트GC,충남 아산시 음봉로 312-38,레포츠(육상/해상/항공)
56,영인산자연휴양림,충남 아산시 아산온천로 16-26,자연관광지
57,다이소/아산점,충남 아산시 온궁로 27-1,쇼핑
58,나인스타CC,충남 아산시 음봉로 52-38,레포츠(육상/해상/항공)
59,세계꽃식물원,충남 아산시 아산만로 37-37,문화관광
60,다이소/아산둔포점,충남 아산시 아산밸리중앙로 106-0,쇼핑
61,하나로마트/인주농협,충남 아산시 현대로 1255-0,쇼핑
62,충청마트/배방점,충남 아산시 북수로 57-0,쇼핑
63,드림디포/아산점,충남 아산시 번영로 125-0,쇼핑
64,SG아름다운골프앤리조트,충남 아산시 영인산로 440-0,레포츠(육상/해상/항공)
65,토이저러스/천안아산점,충남 아산시,쇼핑
66,남일밸리GC,충남 아산시,레포츠(육상/해상/항공)
67,염치저수지,충남 아산시,자연관광지
68,아산시평생학습관,충남 아산시 남부로 92-0,문화시설
69,피나클랜드,충남 아산시 월선길 20-42,문화관광
70,아산퍼스트빌리지공룡월드,충남 아산시 해위안길 127-0,기타관광지
71,하나로마트/영인농협본점,충남 아산시 영인로 52-0,쇼핑
72,대하식자재마트,충남 아산시 어의정로 59-0,쇼핑
73,꿈샘어린이청소년도서관,충남 아산시 시민로 500-0,문화시설
74,당림미술관,충남 아산시 외암로1182번길 34-19,문화시설
75,도고CC,충남 아산시 삼봉산길 188-0,레포츠(육상/해상/항공)
76,와이몰,충남 아산시 광장로 210-0,쇼핑
77,하나로클럽/아산원예농협,충남 아산시 온천대로 1336-0,쇼핑
78,배미수영장,충남 아산시 실옥로 234-0,기타관광지
79,선장포노을공원,충남 아산시 선장로 121-10,자연관광지
80,모나무르,충남 아산시 순천향로 624-0,문화관광
81,아산힐스골프클럽,충남 아산시 송곡길 146-0,레포츠(육상/해상/항공)
82,파라다이스스파도고,충남 아산시 도고온천로 176-0,체험관광
83,나눔로또판매점/로또명당인주점,충남 아산시 서해로 519-2,쇼핑
84,아산시립배방도서관,충남 아산시 모산로 140-12,문화시설
85,베이킹시티,충남 아산시 산동로59번길 27-17,쇼핑
86,하나로마트/온양농협남성점,충남 아산시 남성길 134-0,쇼핑
87,신정호유원지,충남 아산시 신정호길 15-14,문화관광
88,으뜸배방참포크,충남 아산시 갈산교로 99-0,쇼핑
89,신천탕,충남 아산시 온천대로 1469-0,휴양관광지
90,지산공원,충남 아산시 연화로 31-0,자연관광지
91,다이소,충남 아산시 시민로 400-0,쇼핑
92,송곡리은행나무길,충남 아산시,레저스포츠
93,아산시립송곡도서관,충남 아산시 송곡남길 82-4,문화시설
94,삼성디지털프라자/아산본점,충남 아산시 모종로 9-17,쇼핑
95,신정호공원,충남 아산시,자연관광지
96,영인산,충남 아산시,자연관광지
97,토이스토리,충남 아산시 구령서길 17-0,쇼핑
98,아산스파비스,충남 아산시 아산온천로157번길 67-0,체험관광
99,배방스포츠센터,충남 아산시 갈매길 0-0,레포츠(육상/해상/항공)
100,영인산자연휴양림,충남 아산시 아산온천로 16-26,자연관광
