유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
충청남도 서산시 , 충청남도 태안군,27.9,1
충청남도 보령시 , 충청남도 태안군,9.9,1
충청남도 당진시 , 충청남도 태안군,8.8,1
충청남도 홍성군 , 충청남도 태안군,5.6,1
경기도 화성시 , 충청남도 태안군,5.3,1
경기도 평택시 , 충청남도 태안군,4.2,1
충청남도 아산시 , 충청남도 태안군,2.6,1
충청남도 예산군 , 충청남도 태안군,2.4,1
충청남도 천안시 서북구 , 충청남도 태안군,1.4,1
세종특별자치시  , 충청남도 태안군,1.0,1
경기도 시흥시 , 충청남도 태안군,1.0,1
충청남도 공주시 , 충청남도 태안군,0.9,1
충청남도 천안시 동남구 , 충청남도 태안군,0.9,1
대전광역시 유성구 , 충청남도 태안군,0.8,1
경기도 안산시 상록구 , 충청남도 태안군,0.8,1
경기도 용인시 기흥구 , 충청남도 태안군,0.7,1
경기도 수원시 권선구 , 충청남도 태안군,0.7,1
경기도 부천시 , 충청남도 태안군,0.7,1
전라북도 군산시 , 충청남도 태안군,0.7,1
경기도 수원시 영통구 , 충청남도 태안군,0.7,1
 충청남도 태안군,충청남도 서산시,55.5,2
 충청남도 태안군,충청남도 보령시,13.1,2
 충청남도 태안군,충청남도 홍성군,6.3,2
 충청남도 태안군,충청남도 당진시,5.3,2
 충청남도 태안군,충청남도 예산군,3.6,2
 충청남도 태안군,경기도 평택시,1.4,2
 충청남도 태안군,충청남도 아산시,1.2,2
 충청남도 태안군,경기도 화성시,1.0,2
 충청남도 태안군,전라북도 군산시,0.9,2
 충청남도 태안군,충청남도 천안시 서북구,0.5,2
 충청남도 태안군,세종특별자치시 ,0.4,2
 충청남도 태안군,대전광역시 유성구,0.4,2
 충청남도 태안군,충청남도 천안시 동남구,0.4,2
 충청남도 태안군,충청남도 서천군,0.4,2
 충청남도 태안군,충청남도 공주시,0.4,2
 충청남도 태안군,경기도 안성시,0.3,2
 충청남도 태안군,경기도 시흥시,0.3,2
 충청남도 태안군,충청남도 부여군,0.3,2
 충청남도 태안군,경기도 용인시 기흥구,0.2,2
 충청남도 태안군,대전광역시 서구,0.2,2
