순위,관광지명,주소,분류,외지인 검색 수
1,꽃지해수욕장,충남 태안군 꽃지해안로 400-0,자연경관(하천/해양),171016
2,만리포해수욕장,충남 태안군 만리포2길 138-0,자연경관(하천/해양),99227
3,아일랜드리솜태안,충남 태안군 꽃지해안로 204-0,콘도미니엄,76307
4,몽산포해수욕장,충남 태안군,자연경관(하천/해양),63227
5,솔라고CC,충남 태안군 기업도시9길 176-0,육상레저스포츠,55058
6,안면도수산시장,충남 태안군 장터로 104-0,시장,52644
7,백사장항,충남 태안군,자연경관(하천/해양),52247
8,신진항,충남 태안군 신진부두길 35-26,자연경관(하천/해양),48077
9,로얄링스CC,충남 태안군 기업도시6길 43-0,육상레저스포츠,43278
10,천리포수목원,충남 태안군 천리포1길 187-0,자연공원,42358
11,안면도자연휴양림,충남 태안군 안면대로 3195-6,자연공원,41612
12,안면도,충남 태안군,자연경관(하천/해양),37987
13,태안신두리해안사구,충남 태안군 신두해변길 201-122,기타관광,34446
14,영목항,충남 태안군 월고지길 58-0,자연경관(하천/해양),34377
15,태안세계튤립축제,충남 태안군 꽃지해안로 400-0,기타문화관광지,33998
16,청포대해수욕장,충남 태안군,자연경관(하천/해양),29294
17,골든베이골프앤리조트,충남 태안군 정산포로 217-0,육상레저스포츠,27970
18,파도리해수욕장,충남 태안군,자연경관(하천/해양),26765
19,청산수목원,충남 태안군 연꽃길 70-0,테마공원,25925
20,삼봉해수욕장,충남 태안군,자연경관(하천/해양),23289
21,안면도쥬라기박물관,충남 태안군 곰섬로 37-20,전시시설,22820
22,안흥항,충남 태안군 안흥1길 0-0,자연경관(하천/해양),22007
23,안면암,충남 태안군 여수해길 198-160,종교성지,21559
24,모항항선착장,충남 태안군 모항항길 0-0,교통시설,20423
25,몽산포오션캠핑장,충남 태안군 몽산포길 0-0,캠핑,18558
26,태안서부시장,충남 태안군 시장1길 34-0,시장,18400
27,드르니항,충남 태안군 드르니길 143-14,자연경관(하천/해양),18258
28,몽산포항,충남 태안군 몽대로 495-18,자연경관(하천/해양),18184
29,마검포항,충남 태안군,자연경관(하천/해양),17799
30,연포해수욕장,충남 태안군,자연경관(하천/해양),16107
31,학암포해수욕장,충남 태안군,자연경관(하천/해양),15754
32,천리포해수욕장,충남 태안군,자연경관(하천/해양),13994
33,운여해변,충남 태안군,자연경관(하천/해양),13802
34,백사장어촌계수산시장,충남 태안군 백사장1길 126-0,시장,13093
35,신두리해수욕장,충남 태안군,자연경관(하천/해양),12395
36,나문재펜션,충남 태안군 통샘길 87-340,펜션/민박,12187
37,바람아래해수욕장,충남 태안군,자연경관(하천/해양),12101
38,당암포구,충남 태안군 한바위길 54-7,자연경관(하천/해양),12030
39,샛별해수욕장,충남 태안군,자연경관(하천/해양),11924
40,마검포해수욕장,충남 태안군,자연경관(하천/해양),11503
41,어은돌오토캠핑장,충남 태안군 모항파도로 398-70,캠핑,11279
42,스톤비치CC,충남 태안군 갈음이길 77-0,육상레저스포츠,10738
43,영목항선착장,충남 태안군,교통시설,10512
44,태안빛축제,충남 태안군 마검포길 200-0,기타문화관광지,10430
45,방포해수욕장,충남 태안군,자연경관(하천/해양),10323
46,밧개해수욕장,충남 태안군,자연경관(하천/해양),10292
47,방포항,충남 태안군 방포항길 64-0,자연경관(하천/해양),10002
48,팜카밀레허브농원,충남 태안군 우운길 56-19,농/산/어촌체험,9959
49,구매항,충남 태안군 구매길 93-0,자연경관(하천/해양),9688
50,신진도,충남 태안군,자연경관(하천/해양),9651
51,코리아플라워파크,충남 태안군 꽃지해안로 400-0,도시공원,9561
52,어은돌송림캠핑장,충남 태안군 모항파도로 398-42,캠핑,9555
53,만대항,충남 태안군 원이로 0-0,자연경관(하천/해양),9472
54,달산포해수욕장,충남 태안군,자연경관(하천/해양),9262
55,안면카트체험장,충남 태안군 백사장1길 59-0,기타레저스포츠,9164
56,둘레길캠핑장,충남 태안군 꾸지나무길 37-76,캠핑,8536
57,안면도수목원,충남 태안군 안면대로 3195-6,자연공원,8411
58,꾸지나무골해수욕장,충남 태안군,자연경관(하천/해양),8125
59,안면도국제꽃박람회,충남 태안군 꽃지해안로 400-0,기타레저스포츠,7607
60,내포항,충남 태안군,자연경관(하천/해양),7574
61,석갱이오토캠핑장,충남 태안군,캠핑,7488
62,학암포오토캠핑장,충남 태안군 옥파로 1152-37,캠핑,7307
63,백사장해수욕장,충남 태안군,자연경관(하천/해양),6949
64,태안해안국립공원몽산포지구,충남 태안군 몽산포길 54-0,자연공원,6575
65,몽산포오토캠핑장,충남 태안군 몽산포길 65-24,캠핑,6550
66,몽산포청솔오토캠핑장,충남 태안군 몽산포길 99-20,캠핑,6519
67,신두57캠핑장,충남 태안군 신두해변길 201-31,캠핑,6491
68,마검포힐링캠핑촌,충남 태안군 마검포길 313-30,캠핑,6464
69,어은돌해수욕장,충남 태안군,자연경관(하천/해양),6323
70,안면해수욕장,충남 태안군,자연경관(하천/해양),6290
71,마도방파제,충남 태안군,자연경관(하천/해양),6275
72,서초휴양소,충남 태안군 안면대로 571-12,콘도미니엄,5880
73,몽산포어촌계수산물판매장,충남 태안군 몽대로 495-26,시장,5695
74,파도리해식동굴,충남 태안군,자연생태,5625
75,대야도항,충남 태안군 대야로 0-0,자연경관(하천/해양),5375
76,천리포항,충남 태안군,자연경관(하천/해양),5353
77,사목공원캠핑장,충남 태안군 사목길 49-0,캠핑,5123
78,곰섬오토캠프장,충남 태안군 곰섬로 535-0,캠핑,5107
79,신진도방파제,충남 태안군,자연경관(하천/해양),4864
80,갈음이해수욕장,충남 태안군,자연경관(하천/해양),4826
81,세븐무인텔,충남 태안군 천수만로 365-67,모텔,4803
82,만리포해수욕장전망대,충남 태안군 만리포2길 190-3,랜드마크관광,4745
83,별빛바다글램핑펜션,충남 태안군 학암포길 21-37,펜션/민박,4665
84,새섬리조트,충남 태안군 태포길 266-0,콘도미니엄,4646
85,기지포해수욕장,충남 태안군 해안관광로 745-19,캠핑,4533
86,아라가온펜션,충남 태안군 라암로 914-69,펜션/민박,4509
87,채석포항,충남 태안군 용도로 258-0,자연경관(하천/해양),4504
88,하나무인텔,충남 태안군 독샘로 77-13,모텔,4461
89,학암포선착장,충남 태안군 옥파로 1216-0,교통시설,4330
90,서해땅끝파도리아치내캠핑장,충남 태안군 아치내길 216-0,캠핑,4312
91,모켄풀빌라,충남 태안군 곰섬로 129-81,펜션/민박,4149
92,태안별빛캠핑장,충남 태안군 법산길 160-20,캠핑,4060
93,한마음오션플레이스,충남 태안군 신두해변길 122-0,펜션/민박,4012
94,학암포나로캠핑장,충남 태안군 옥파로 1157-0,캠핑,3967
95,장삼포해수욕장,충남 태안군,자연경관(하천/해양),3869
96,골든웨이브펜션,충남 태안군 곰섬로 236-70,펜션/민박,3813
97,백리포해수욕장,충남 태안군,자연경관(하천/해양),3770
98,센티마르펜션,충남 태안군 학암포길 47-6,펜션/민박,3712
99,의항해수욕장,충남 태안군,자연경관(하천/해양),3646
100,달산포비치캠핑장,충남 태안군 달산포로 0-0,캠핑,3615
