순위,관광지명,주소,분류,합산 검색 수
1,산막이옛길,충북 괴산군,기타관광,32968
2,문광저수지,충북 괴산군 괴산로 3024-2,자연경관(하천/해양),21856
3,쌍곡계곡,충북 괴산군,자연경관(산),18944
4,화양구곡,충북 괴산군,자연경관(산),15731
5,괴산자연드림파크1단지,충북 괴산군 자연드림길 252-0,기타관광,12998
6,성불산자연휴양림,충북 괴산군 충민로기곡길 78-0,자연공원,10085
7,괴산전통시장,충북 괴산군 읍내로15길 12-0,시장,9309
8,수옥폭포,충북 괴산군,자연경관(산),7159
9,조령산자연휴양림,충북 괴산군 새재로 1795-0,자연공원,6923
10,목도강수욕장,충북 괴산군,기타관광,5999
11,화양동야영장,충북 괴산군 화양로 733-38,캠핑,5892
12,은행나무길,충북 괴산군,기타관광,5146
13,각연사,충북 괴산군 각연길 451-0,종교성지,4586
14,연하협구름다리,충북 괴산군,기타관광,4288
15,코오롱스포츠캠핑파크,충북 괴산군 대야로 487-0,캠핑,4130
16,공림사,충북 괴산군 괴산로공림길 104-0,종교성지,3813
17,칠보산,충북 괴산군,자연경관(산),3595
18,사담계곡,충북 괴산군,자연경관(산),3499
19,괴산극장,충북 괴산군 자연드림길 240-0,공연시설,3404
20,물소리풍경,충북 괴산군 쌍곡로 351-0,캠핑,3242
21,보광산관광농원,충북 괴산군 모래재로 646-8,농/산/어촌체험,3120
22,나무야나무야,충북 괴산군 유상길 85-0,캠핑,3090
23,괴강국민여가캠핑장,충북 괴산군 충민로검승3길 10-0,캠핑,2984
24,써니밸리캠핑장,충북 괴산군 화양로 715-0,캠핑,2896
25,떡바위산장,충북 괴산군 쌍곡로 554-0,펜션/민박,2856
26,갈론계곡,충북 괴산군,자연경관(산),2795
27,도레미캠핑장,충북 괴산군 관동로세평4길 24-0,캠핑,2733
28,괴산자연드림파크2단지,충북 괴산군 자연식품1길 14-0,기타관광,2467
29,자연애캠핑장,충북 괴산군 능촌로 390-0,캠핑,2317
30,괴산산막이시장,충북 괴산군 읍내로15길 8-8,시장,2290
31,쌍곡예당,충북 괴산군 쌍곡로1길 111-0,캠핑,2178
32,웨스트오브가나안,충북 괴산군 수옥정길 175-1,호텔,2117
33,숲속의하모니펜션,충북 괴산군 후평도원로 155-0,펜션/민박,2057
34,솔베이캠핑장황토펜션,충북 괴산군 충민로 1083-12,펜션/민박,2008
35,후평숲유원지캠핑장,충북 괴산군 후평도원로 129-19,캠핑,1978
36,강변오토캠핑장,충북 괴산군 충민로 297-0,캠핑,1943
37,루파니애견캠핑장,충북 괴산군 감물로 362-54,캠핑,1937
38,화양숲노리캠핑장,충북 괴산군 화양로 834-9,캠핑,1909
39,초원의집,충북 괴산군 연풍로쌍곡길 25-6,기타관광,1889
40,괴산트리하우스가든,충북 괴산군 한불로 1216-0,테마공원,1860
41,솔밭캠프,충북 괴산군 쌍곡로 322-0,캠핑,1847
42,화양동관광농원,충북 괴산군 다보길 8-0,농/산/어촌체험,1845
43,청천푸른내시장,충북 괴산군 청천3길 9-3,시장,1804
44,도명산캠핑,충북 괴산군 고성4길 2-18,캠핑,1793
45,호텔로움,충북 괴산군 자연드림길 252-0,호텔,1737
46,괴산호,충북 괴산군,자연경관(하천/해양),1688
47,신흥낚시터,충북 괴산군,수상레저스포츠,1597
48,청천수변공원,충북 괴산군,도시공원,1572
49,수옥폭포관광단지,충북 괴산군,복합관광시설,1506
50,삼정펜션,충북 괴산군 쌍곡로 411-0,펜션/민박,1484
51,수옥정물놀이장,충북 괴산군 수옥정길 127-1,테마공원,1479
52,승암159캠핑장,충북 괴산군 후평도원로 484-0,캠핑,1465
53,오테힐펜션,충북 괴산군 자연식품1길 20-0,펜션/민박,1446
54,휴모텔,충북 괴산군 읍내로15길 24-5,모텔,1400
55,선유동계곡,충북 괴산군,자연경관(산),1374
56,모래재캠핑장,충북 괴산군 모래재로 483-14,캠핑,1328
57,피노키오워터펜션,충북 괴산군 괴산로 1573-11,펜션/민박,1264
58,갈론계곡캠핑장,충북 괴산군 칠성로10길 466-3,캠핑,1258
59,칠보산산장,충북 괴산군 쌍곡로3길 3-0,펜션/민박,1250
60,J모텔,충북 괴산군 괴강로 203-0,모텔,1196
61,글램하우스펜션,충북 괴산군 괴산로새민이길 63-55,펜션/민박,1180
62,기스락펜션,충북 괴산군 쌍곡로 603-0,펜션/민박,1170
63,괴강관광농원캠핑장,충북 괴산군 괴강로 354-14,캠핑,1133
64,새들펜션가든,충북 괴산군 쌍곡로1길 5-32,펜션/민박,1102
65,개차반캠핑,충북 괴산군 소매1길 102-0,캠핑,1100
66,이화령고개,충북 괴산군,자연경관(산),1094
67,꿀벌랜드,충북 괴산군 모래재로 941-0,기타관광,1050
68,동궁쉼터,충북 괴산군 쌍곡로1길 89-0,펜션/민박,1031
69,마운틴밸리휴펜션,충북 괴산군 수옥정길 158-39,펜션/민박,982
70,제월대펜션,충북 괴산군 제월로 226-0,펜션/민박,944
71,선녀탕펜션,충북 괴산군 쌍곡로 682-27,펜션/민박,925
72,스테이나루펜션,충북 괴산군 도경로후영길 71-12,펜션/민박,923
73,더하루만캠핑장,충북 괴산군 괴산로상신5길 6-10,캠핑,922
74,우인펜션민박,충북 괴산군 쌍곡로1길 36-0,펜션/민박,914
75,쌍곡송이펜션,충북 괴산군 쌍곡로 529-0,펜션/민박,909
75,소암저수지,충북 괴산군,자연경관(하천/해양),909
77,아이힐펜션,충북 괴산군 능촌로2길 81-46,펜션/민박,896
78,쌍곡폭포,충북 괴산군,자연경관(산),875
79,이곡저수지,충북 괴산군,자연경관(하천/해양),867
80,송화펜션,충북 괴산군 쌍곡로1길 42-0,펜션/민박,856
81,괴산군소금랜드,충북 괴산군,전시시설,845
82,Y무인텔,충북 괴산군 문무로 264-0,모텔,844
83,매전저수지,충북 괴산군,자연경관(하천/해양),816
84,바람의화원세트장,충북 괴산군 송문로덕평1길 44-18,기타문화관광지,810
85,용성골팬션,충북 괴산군 원풍로새터길 44-51,펜션/민박,809
86,괴산군청소년수련관,충북 괴산군 충민로검승3길 41-0,육상레저스포츠,791
87,수옥정,충북 괴산군,역사유적지,788
88,소수저수지,충북 괴산군,자연경관(하천/해양),784
89,한지체험박물관,충북 괴산군 원풍로 233-0,전시시설,740
90,산새소리캠핑장,충북 괴산군 도경로여사왕2길 4-67,캠핑,730
91,예그리나,충북 괴산군 쌍곡로 576-0,펜션/민박,722
