순위,관광지명,주소,분류
1,산막이옛길,충북 괴산군,기타관광지
2,괴산전통시장,충북 괴산군 읍내로15길 12-0,쇼핑
3,문광저수지,충북 괴산군 괴산로 3024-2,자연관광지
4,하나로마트/괴산농협중앙점,충북 괴산군 읍내로 272-5,쇼핑
5,성불산자연휴양림,충북 괴산군 충민로기곡길 78-0,자연관광지
6,화양구곡,충북 괴산군,자연관광지
7,수옥폭포,충북 괴산군,자연관광지
8,쌍곡계곡,충북 괴산군,자연관광지
9,괴산자연드림파크1단지,충북 괴산군 자연드림길 252-0,기타관광지
10,연하협구름다리,충북 괴산군,기타관광지
11,은행나무길,충북 괴산군,기타관광지
12,하나로마트/괴산군자농협칠성점,충북 괴산군 도정로 42-0,쇼핑
13,산막이옛길,충북 괴산군,기타관광
14,괴산산막이시장,충북 괴산군 읍내로15길 8-8,쇼핑
15,조령산자연휴양림,충북 괴산군 새재로 1795-0,자연관광지
16,초원의집,충북 괴산군 연풍로쌍곡길 25-6,기타관광지
17,각연사,충북 괴산군 각연길 451-0,역사관광지
18,하나로마트/청천농협,충북 괴산군 괴산로 1349-0,쇼핑
19,화양구곡,충북 괴산군,자연관광
20,목도강수욕장,충북 괴산군,기타관광지
21,다이소/괴산점,충북 괴산군 읍내로2길 85-1,쇼핑
22,주성마트,충북 괴산군 괴강로 17-0,쇼핑
23,갈론계곡,충북 괴산군,자연관광지
24,쌍곡계곡,충북 괴산군,자연관광
25,세븐일레븐/괴산칠성점,충북 괴산군 도정로 67-0,쇼핑
26,수옥폭포관광단지,충북 괴산군,기타관광지
27,괴산자연드림파크2단지,충북 괴산군 자연식품1길 14-0,기타관광지
28,괴산자연드림파크1단지,충북 괴산군 자연드림길 252-0,기타관광
29,수옥폭포,충북 괴산군,자연관광
30,공림사,충북 괴산군 괴산로공림길 104-0,역사관광지
31,청천푸른내시장,충북 괴산군 청천3길 9-3,쇼핑
32,화랑마트,충북 괴산군 읍내로3길 4-0,쇼핑
33,연하협구름다리,충북 괴산군,기타관광
34,성불산자연휴양림,충북 괴산군 충민로기곡길 78-0,자연관광
35,괴산극장,충북 괴산군 자연드림길 240-0,공연/행사
36,선유동계곡,충북 괴산군,자연관광지
37,자연드림/괴산자연드림파크점,충북 괴산군 자연드림길 240-0,쇼핑
38,하나로마트/괴산군자농협,충북 괴산군 중앙로 32-0,쇼핑
39,사담계곡,충북 괴산군,자연관광지
40,문광저수지,충북 괴산군 괴산로 3024-2,자연관광
41,칠보산,충북 괴산군,자연관광지
42,보광산관광농원,충북 괴산군 모래재로 646-8,레포츠(육상/해상/항공)
43,각연사,충북 괴산군 각연길 451-0,역사관광
44,괴산트리하우스가든,충북 괴산군 한불로 1216-0,휴양관광지
45,목도강수욕장,충북 괴산군,기타관광
46,초원의집,충북 괴산군 연풍로쌍곡길 25-6,기타관광
47,하나로마트/청천농협송면지점,충북 괴산군 송면1길 1-0,쇼핑
48,조령산자연휴양림,충북 괴산군 새재로 1795-0,자연관광
49,하나로마트/불정농협감물점,충북 괴산군 감물로 34-0,쇼핑
50,괴산문화체육센터,충북 괴산군 임꺽정로 99-9,기타관광지
51,꿀벌랜드,충북 괴산군 모래재로 941-0,기타관광지
52,괴산호,충북 괴산군,자연관광지
53,GS25/괴산본점,충북 괴산군 읍내로 293-0,쇼핑
54,주성DC아울렛백화점,충북 괴산군 괴강로동부2길 8-0,쇼핑
55,괴산농산물유통센터,충북 괴산군,쇼핑
56,자연드림스포츠힐링센터,충북 괴산군 자연드림길 200-0,레포츠(육상/해상/항공)
57,쌍곡폭포,충북 괴산군,자연관광지
58,이화령고개,충북 괴산군,자연관광지
59,청천수변공원,충북 괴산군,자연관광지
60,괴산고추축제,충북 괴산군 임꺽정로 75-1,기타관광지
61,괴산군소금랜드,충북 괴산군,문화시설
62,수옥폭포관광단지,충북 괴산군,문화관광
63,동행복권판매점/로또,충북 괴산군 읍내로 273-0,쇼핑
64,신흥낚시터,충북 괴산군,레포츠(육상/해상/항공)
65,숲속작은책방,충북 괴산군 명태재로미루길 90-0,쇼핑
66,괴산극장,충북 괴산군 자연드림길 240-0,문화관광
67,청안새마을꽃길공원,충북 괴산군 청안읍내로6길 15-0,자연관광지
68,괴산자연드림파크2단지,충북 괴산군 자연식품1길 14-0,기타관광
69,GS25/괴산탑클래스점,충북 괴산군 읍내로15길 20-0,쇼핑
70,세븐일레븐/괴산화양계곡점,충북 괴산군 화양로 742-0,쇼핑
71,화양동관광농원,충북 괴산군 다보길 8-0,레포츠(육상/해상/항공)
72,생곡편의점,충북 괴산군 연풍로 114-0,쇼핑
73,괴산농업역사박물관,충북 괴산군 충민로검승1길 6-0,문화시설
74,한살림/괴산점,충북 괴산군 문무로 12-0,쇼핑
75,충청도양반길/2코스,충북 괴산군,레포츠(육상/해상/항공)
76,괴산종합운동장,충북 괴산군 동진천길 197-0,기타관광지
77,공림사,충북 괴산군 괴산로공림길 104-0,역사관광
78,한지체험박물관,충북 괴산군 원풍로 233-0,문화시설
79,보광산관광농원,충북 괴산군 모래재로 646-8,체험관광
80,괴산둔율올갱이축제,충북 괴산군,기타관광지
81,괴산용추폭포,충북 괴산군,자연관광지
82,세븐일레븐/괴산청천점,충북 괴산군 괴산로 1337-0,쇼핑
83,소수저수지,충북 괴산군,자연관광지
84,한운사기념관,충북 괴산군 청안읍내로 45-6,문화시설
85,괴산트리하우스가든,충북 괴산군 한불로 1216-0,문화관광
86,버섯랜드,충북 괴산군 화양로 14-0,쇼핑
87,괴산코스모스동산,충북 괴산군,기타관광지
88,괴산국민체육센터,충북 괴산군 임꺽정로 113-0,레포츠(육상/해상/항공)
89,사담계곡,충북 괴산군,자연관광
90,청천수변공원,충북 괴산군,문화관광
91,괴강교인증센터,충북 괴산군,레포츠(육상/해상/항공)
92,칠보산,충북 괴산군,자연관광
93,불정마트,충북 괴산군 목도로 55-0,쇼핑
94,수옥정,충북 괴산군,기타관광지
95,불정농협하나로마트,충북 괴산군 목도로 41-0,쇼핑
96,괴산농업역사박물관,충북 괴산군 충민로검승1길 6-0,문화관광
97,일완홍범식고택,충북 괴산군 임꺽정로 16-0,역사관광지
98,갈론계곡,충북 괴산군,자연관광
99,연풍레포츠공원,충북 괴산군 새재로 1948-0,자연관광지
100,이곡저수지,충북 괴산군,자연관광지
