순위,관광지명,주소,분류
1,진천농다리,충북 진천군,역사관광지
2,생거진천전통시장,충북 진천군 원덕로 390-0,쇼핑
3,보탑사,충북 진천군 김유신길 641-0,역사관광지
4,초평호한반도전망대,충북 진천군,기타관광지
5,백곡저수지,충북 진천군,자연관광지
6,진천종박물관,충북 진천군 백곡로 1504-12,문화시설
7,진천농다리,충북 진천군,역사관광
8,하나로마트/진천농협본점,충북 진천군 중앙동5길 12-0,쇼핑
9,초평저수지,충북 진천군,자연관광지
10,노브랜드/진천덕산점,충북 진천군 대하로 138-0,쇼핑
11,혁신도시식자재마트,충북 진천군 시가로 15-0,쇼핑
12,남한강마트/진천점,충북 진천군 대촌길 1-0,쇼핑
13,만뢰산자연생태공원,충북 진천군 김유신길 340-38,자연관광지
14,진천중앙시장,충북 진천군 중앙북4길 30-0,쇼핑
15,GS더프레시/진천점,충북 진천군 남산길 78-0,쇼핑
16,길상사,충북 진천군 문진로 1411-38,역사관광지
17,골프존카운티화랑,충북 진천군 농다리로 809-0,레포츠(육상/해상/항공)
18,하나로마트/진천축협본점,충북 진천군 문화로 200-31,쇼핑
19,보탑사,충북 진천군 김유신길 641-0,역사관광
20,진천하늘다리,충북 진천군 평화로 403-132,기타관광지
21,골프존카운티/진천,충북 진천군 송강로 783-51,레포츠(육상/해상/항공)
22,하나로마트/진천덕산농협,충북 진천군 용몽2길 17-7,쇼핑
23,초평호한반도전망대,충북 진천군,문화관광
24,다이소/진천덕산점,충북 진천군 덕금로 836-0,쇼핑
25,배티성지,충북 진천군 배티로 663-13,역사관광지
26,생거진천자연휴양림,충북 진천군,자연관광지
27,천룡CC,충북 진천군 진안로 347-123,레포츠(육상/해상/항공)
28,진천축협하나로마트/본점,충북 진천군 중앙서로 53-0,쇼핑
29,진천종박물관,충북 진천군 백곡로 1504-12,문화관광
30,마차박물관,충북 진천군 농다리로 34-0,문화시설
31,연곡계곡,충북 진천군 김유신길 0-0,자연관광지
32,만뢰산자연생태공원,충북 진천군 김유신길 340-38,문화관광
33,히든밸리GC,충북 진천군 소토골길 61-0,레포츠(육상/해상/항공)
34,영마트/진천점,충북 진천군 중앙동9길 40-3,쇼핑
35,생거진천농다리축제,충북 진천군,기타관광지
36,천룡CC퍼블릭,충북 진천군 진안로 425-0,레포츠(육상/해상/항공)
37,다이소/GS슈퍼진천점,충북 진천군 남산길 78-0,쇼핑
38,진천이팝나무길,충북 진천군,기타관광
39,백곡저수지,충북 진천군,자연관광
40,김유신장군탄생지,충북 진천군 김유신길 170-4,역사관광지
41,초평저수지,충북 진천군,자연관광
42,대한체육회 진천선수촌,충북 진천군 선수촌로 105-0,기타관광지
43,하나로마트/이월농협본점,충북 진천군 송림6길 45-0,쇼핑
44,히트낚시할인매장,충북 진천군 원덕로 346-0,레포츠(육상/해상/항공)
45,롯데하이마트/진천점,충북 진천군 문화로 239-0,쇼핑
46,생거진천혁신도시도서관,충북 진천군 대하로 52-0,문화시설
47,화랑관,충북 진천군 문화로 69-4,문화시설
48,진천군청소년수련원,충북 진천군 평화로 403-132,레포츠(육상/해상/항공)
49,길상사,충북 진천군 문진로 1411-38,역사관광
50,롯데슈퍼/광혜원점,충북 진천군 광혜원산단1길 115-4,쇼핑
51,마차박물관,충북 진천군 농다리로 34-0,문화관광
52,골프존카운티화랑,충북 진천군 농다리로 809-0,레저스포츠
53,생거진천치유의숲,충북 진천군 송림2길 81-200,자연관광지
54,진천식자재마트,충북 진천군 남산길 64-0,쇼핑
55,진천역사테마공원,충북 진천군 백곡로 1504-12,자연관광지
56,파크골프클럽,충북 진천군 장수로 273-4,레포츠(육상/해상/항공)
57,메가박스/진천,충북 진천군 중앙북1길 3-0,공연/행사
58,배티성지,충북 진천군 배티로 663-13,역사관광
59,이마트에브리데이/진천옥동점,충북 진천군 연미1길 33-0,쇼핑
