순위,업소명,주소,분류,합산 검색 수
1,진천막국수,충북 진천군 진광로 725-0,한식,8233
2,손맛한식뷔페,충북 진천군 문진로 974-0,외국식,7252
3,엽돈재토종청국장,충북 진천군 백곡로 169-0,한식,6278
4,시골막국수진천점,충북 진천군 문화3길 45-0,한식,5598
5,짬뽕대장[중식],충북 진천군 신척서길 25-0,외국식,5527
6,더그라스,충북 진천군 소강정1길 78-0,카페/찻집,4795
7,The조선식탁,충북 진천군 석장로 227-0,한식,4350
8,이월서가,충북 진천군 진안로 583-6,카페/찻집,4329
9,엽돈재가든,충북 진천군 백곡로 184-0,한식,3896
10,진골짬뽕[중식],충북 진천군 문화로 19-0,외국식,3768
11,사석한우촌,충북 진천군 금사로 391-0,한식,3699
12,오릿대진천점,충북 진천군 진광로 933-0,외국식,3611
13,더힐227,충북 진천군 석장로 227-0,카페/찻집,3235
14,송백가든,충북 진천군 진안로 362-6,한식,2859
15,쥐꼬리명당,충북 진천군 평화로 403-94,한식,2801
16,덕현칼국수,충북 진천군 석장2길 21-0,한식,2778
17,궁채석갈비,충북 진천군 문진로 1026-0,한식,2665
18,양평해장국사석점,충북 진천군 문진로 1010-0,한식,2555
19,학댕이칼국수,충북 진천군 문진로 1445-0,한식,2432
20,청주왕족발보쌈,충북 진천군 중앙서로 21-0,외국식,2362
21,세렌디,충북 진천군 시가로 46-0,외국식,2356
22,농다리찌개마을,충북 진천군 농다리로 1032-5,한식,2323
23,우림손두부마을,충북 진천군 진안로 30-0,한식,2242
24,곰가내[한식],충북 진천군 백곡로 835-8,한식,2230
25,롯데리아진천점,충북 진천군 중앙동로 56-0,간이음식,2038
26,바보아저씨,충북 진천군 화랑4길 16-0,외국식,2028
27,청석한우,충북 진천군 대월2길 52-0,한식,1993
28,버거킹충북진천점,충북 진천군 상산로 73-0,간이음식,1970
29,할머니집,충북 진천군 화산동길 18-0,외국식,1955
30,들녘애농원,충북 진천군 농다리로 1294-0,한식,1937
31,농민쉐프의묵은지화련,충북 진천군 이영남로 73-0,한식,1906
32,스시이찌방진천점,충북 진천군 시가로 3-0,외국식,1810
33,미잠미과,충북 진천군 미리실길 123-0,간이음식,1802
34,스시정,충북 진천군 대월1길 20-0,외국식,1763
35,선수촌한우정육식당,충북 진천군 장기길 31-0,한식,1760
36,정원삼겹살,충북 진천군 남산10길 18-12,한식,1727
37,고화갈비살진천혁신점,충북 진천군 시가로 46-0,한식,1726
38,소토골,충북 진천군 소토골길 42-9,한식,1725
39,부엉이돈가스충북혁신도시점,충북 진천군 시가로 39-0,외국식,1721
40,하루의식탁[일식],충북 진천군 예지1길 13-4,외국식,1720
41,카페블루문,충북 진천군 초금로 212-0,카페/찻집,1712
42,신궁전[한식],충북 진천군 용몽2길 34-0,한식,1672
43,서프커피,충북 진천군 공원로 38-0,카페/찻집,1647
44,다원돌솥밥,충북 진천군 농다리로 1329-0,한식,1640
45,이월원조뼈해장국,충북 진천군 진광로 853-0,한식,1601
46,덕이네묵집,충북 진천군 사양1길 2-1,한식,1581
47,피넛커피충북혁신도시점,충북 진천군 대월2길 56-0,카페/찻집,1550
48,송애집,충북 진천군 초평로 1051-5,한식,1488
49,안나의화원,충북 진천군 사송1길 11-3,카페/찻집,1481
50,한옥카페봄이와,충북 진천군 장기길 45-0,카페/찻집,1461
51,카페브릭,충북 진천군 백곡로 1078-42,카페/찻집,1455
52,호두나무집,충북 진천군 농다리로 1332-0,한식,1439
53,농다리은행나무집,충북 진천군 농다리로 1094-0,외국식,1432
54,농다리천년사랑,충북 진천군 농다리로 1032-21,한식,1431
55,이디야커피광혜원점,충북 진천군 중리1길 32-5,카페/찻집,1425
56,오박사냉면,충북 진천군 중앙동1길 2-0,한식,1343
57,보림한우,충북 진천군 중앙동7길 20-0,한식,1341
58,황금코다리진천혁신점,충북 진천군 예지2길 13-0,한식,1325
59,청산가든,충북 진천군 진안로 360-0,외국식,1324
60,원산대반점[중식],충북 진천군 중앙서로 69-0,외국식,1292
61,진천숯불고기,충북 진천군 사석1길 3-0,한식,1279
62,금강매운탕,충북 진천군 백곡로 1503-7,한식,1271
63,옛날두부마을,충북 진천군 문진로 1010-0,한식,1269
64,중화식객[중식],충북 진천군 대하로 133-0,외국식,1243
65,김형제고기의철학진천혁신도시점,충북 진천군 예지1길 11-5,한식,1159
66,마라도일식,충북 진천군 구암길 30-0,외국식,1156
67,연당,충북 진천군 구암길 32-0,한식,1154
68,연곡가든&숲속커피,충북 진천군 김유신길 505-10,한식,1127
69,투썸플레이스진천터미널점,충북 진천군 중앙북1길 3-0,카페/찻집,1122
70,카페멀로,충북 진천군 원덕로 338-0,카페/찻집,1086
71,시골닭집,충북 진천군 소토골길 36-7,한식,1060
72,고기박사냉면초계막국수진천점,충북 진천군 용몽로 106-0,한식,1012
73,안성깍뚜기충북혁신도시점,충북 진천군 공원로 18-0,외국식,1011
74,스몰콤마,충북 진천군 송림2길 81-97,카페/찻집,1009
75,덕산상회,충북 진천군 예지2길 3-0,한식,1007
76,파리바게뜨충북광혜원점,충북 진천군 중리3길 21-0,간이음식,990
77,금강공업진천1공장,충북 진천군 진광로 515-0,기타음식,989
78,이디야커피진천혁신점,충북 진천군 공원로 4-0,카페/찻집,984
79,자매상회,충북 진천군 대월2길 52-0,간이음식,956
80,롯데리아광혜원점,충북 진천군 장기길 104-0,간이음식,946
81,생극해장국덕산점,충북 진천군 덕금로 853-0,한식,933
82,새울목오리탕본가,충북 진천군 화산동길 16-0,외국식,931
83,곤드레밥집[한식],충북 진천군 문화로 91-8,한식,921
84,육미마을,충북 진천군 원덕로 179-0,한식,920
85,다람쥐마을,충북 진천군 김유신길 493-0,한식,916
86,안녕케이크,충북 진천군 대월2길 31-0,카페/찻집,881
87,이차돌진천덕산점,충북 진천군 귀농3길 136-0,한식,850
