순위,업소명,주소,분류,현지인 검색 수
1,맥도날드청주금천DT점,충북 청주시 상당구 중고개로 281-0,간이음식,3224
2,데어데어베이커리카페,충북 청주시 상당구 무심동로 72-0,간이음식,2830
3,스타벅스청주용암DT점,충북 청주시 상당구 1순환로 1243-0,카페/찻집,2237
4,스타벅스청주용담DT점,충북 청주시 상당구 산성로 129-0,카페/찻집,2029
5,일일일락,충북 청주시 상당구 추정2길 13-2,카페/찻집,1963
6,에클로그,충북 청주시 상당구 효덕길 26-84,카페/찻집,1796
7,컨트리하우스,충북 청주시 상당구 목련로214번길 40-0,간이음식,1744
8,듀레베이커리청주점,충북 청주시 상당구 명암로 32-0,간이음식,1725
9,엔트라포레,충북 청주시 상당구 가좌신송로 190-53,카페/찻집,1572
10,더대청호카페,충북 청주시 상당구 대청호반로 786-25,카페/찻집,1537
11,마중한정식[한식],충북 청주시 상당구 대청호반로 845-5,한식,1379
12,투썸플레이스청주동남점,충북 청주시 상당구 중고개로125번길 19-0,카페/찻집,1371
13,부부농장문의시내점,충북 청주시 상당구 대청호반로 834-1,한식,1283
14,가덕한우식당,충북 청주시 상당구 단재로 940-0,한식,1216
15,남일순대,충북 청주시 상당구 효촌송정1길 5-10,한식,1057
16,오지,충북 청주시 상당구 수암로36번길 13-0,카페/찻집,1029
17,홍익돈까스청주용암점,충북 청주시 상당구 단재로 182-0,외국식,986
18,옹골찬밥상게르부아,충북 청주시 상당구 효촌송암1길 43-0,한식,978
19,아우트로커피,충북 청주시 상당구 산성로 676-0,카페/찻집,947
20,봉용불고기용암점,충북 청주시 상당구 용암북로 130-1,한식,923
21,길성이본점,충북 청주시 상당구 이정골로 13-0,한식,866
22,투썸플레이스청주방서메디컬타워점,충북 청주시 상당구 2순환로2031번길 6-20,카페/찻집,729
23,롯데리아청주금천점,충북 청주시 상당구 수영로 285-0,간이음식,711
24,인더키친명암점,충북 청주시 상당구 명암로 30-0,외국식,688
25,황미방앗간,충북 청주시 상당구 1순환로1480번길 11-12,한식,683
26,어반트리,충북 청주시 상당구 단재로 858-0,한식,682
27,진주냉면이설옥,충북 청주시 상당구 1순환로1514번길 55-0,한식,641
28,38.5DOG,충북 청주시 상당구 미천고은로 398-0,카페/찻집,630
29,우림칼국수직영점,충북 청주시 상당구 단재로 523-0,한식,589
30,대청댐가는길에,충북 청주시 상당구 중고개로125번길 15-0,한식,587
31,시골생고기,충북 청주시 상당구 용암북로94번길 20-1,한식,580
32,지오카페,충북 청주시 상당구 산성로 643-0,카페/찻집,577
33,풀문,충북 청주시 상당구 수암로36번길 21-4,카페/찻집,552
34,띵킹컵,충북 청주시 상당구 산성로 191-0,카페/찻집,543
35,닭마을[한식],충북 청주시 상당구 가덕시동길 10-0,한식,533
36,카페레체,충북 청주시 상당구 수동로5번길 32-0,카페/찻집,527
37,여울목[한식],충북 청주시 상당구 호미로 224-0,한식,521
